year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,11,26,21,1200,100,0,0,0,3,584,
2025,2,21,11,26,23,1200,75,0,0,0,3,584,
2025,2,21,11,26,23,1200,75,0,0,0,3,584,
2025,2,21,11,26,23,1200,75,0,0,0,3,584,
2025,2,21,11,26,24,1210,75,0,0,0,3,584,
2025,2,21,11,26,25,1210,75,0,0,0,3,584,
2025,2,21,11,26,26,1210,100,0,0,0,3,584,
2025,2,21,11,26,27,1210,100,0,0,0,3,584,
2025,2,21,11,26,28,1220,100,0,0,0,3,584,
2025,2,21,11,26,29,1220,100,0,0,0,3,584,
2025,2,21,11,26,30,1230,100,0,0,0,3,584,
2025,2,21,11,26,31,1230,100,0,0,0,3,584,
2025,2,21,11,26,32,1220,75,0,0,0,3,584,
2025,2,21,11,26,33,1220,100,0,0,0,3,584,
2025,2,21,11,26,34,1220,75,0,0,0,3,584,
2025,2,21,11,26,35,1210,100,0,0,0,3,584,
2025,2,21,11,26,36,1210,100,0,0,0,3,584,
2025,2,21,11,26,37,1210,75,0,0,0,3,584,
2025,2,21,11,26,38,1210,100,0,0,0,3,584,
2025,2,21,11,26,39,1210,75,0,0,0,3,584,
2025,2,21,11,26,40,1210,75,0,0,0,3,584,
2025,2,21,11,26,41,1210,25,1,0,0,3,584,
2025,2,21,11,26,42,1200,50,2,1,0,3,584,
2025,2,21,11,26,43,1200,50,2,3,0,3,584,
2025,2,21,11,26,44,1200,50,2,5,0,3,584,
2025,2,21,11,26,45,1190,50,1,7,0,3,584,
2025,2,21,11,26,46,1190,50,1,7,0,3,584,
2025,2,21,11,26,47,1190,50,1,7,0,3,584,
2025,2,21,11,26,48,1200,50,1,7,0,3,584,
2025,2,21,11,26,49,1200,50,2,8,0,3,584,
2025,2,21,11,26,50,1190,50,2,10,0,3,584,
2025,2,21,11,26,51,1190,75,2,12,0,3,584,
2025,2,21,11,26,52,1190,75,2,13,0,3,584,
2025,2,21,11,26,53,1190,75,2,15,0,3,584,
2025,2,21,11,26,54,1190,75,2,17,0,3,584,
2025,2,21,11,26,55,1190,75,2,19,0,3,584,
2025,2,21,11,26,56,1190,75,2,20,0,3,584,
2025,2,21,11,26,57,1190,75,2,22,0,3,584,
2025,2,21,11,26,58,1190,75,2,24,0,3,584,
2025,2,21,11,26,59,1190,75,2,26,0,3,584,
2025,2,21,11,27,0,1180,75,2,27,0,3,584,
2025,2,21,11,27,1,1180,75,2,29,0,3,584,
2025,2,21,11,27,2,1180,75,2,31,0,3,584,
2025,2,21,11,27,3,1180,75,2,33,0,3,584,
2025,2,21,11,27,4,1180,75,2,35,0,3,584,
2025,2,21,11,27,5,1180,75,2,36,0,3,584,
2025,2,21,11,27,6,1180,75,2,38,0,3,584,
2025,2,21,11,27,7,1180,100,2,40,0,3,584,
2025,2,21,11,27,8,1180,100,2,42,0,3,584,
2025,2,21,11,27,9,1180,100,2,44,0,3,584,
2025,2,21,11,27,10,1180,100,2,45,0,3,584,
2025,2,21,11,27,11,1190,100,2,47,0,3,584,
2025,2,21,11,27,12,1190,100,2,49,0,3,584,
2025,2,21,11,27,13,1190,100,2,51,0,3,584,
2025,2,21,11,27,14,1190,100,2,53,0,3,584,
2025,2,21,11,27,15,1190,100,2,54,0,3,584,
2025,2,21,11,27,16,1190,100,2,56,0,3,584,
2025,2,21,11,27,17,1190,100,2,58,0,3,584,
2025,2,21,11,27,18,1190,100,2,60,0,3,584,
2025,2,21,11,27,19,1190,100,2,61,0,3,584,
2025,2,21,11,27,20,1190,100,2,63,0,3,584,
2025,2,21,11,27,21,1180,100,2,65,0,3,584,
2025,2,21,11,27,22,1180,100,2,67,0,3,584,
2025,2,21,11,27,23,1180,100,2,68,0,3,584,
2025,2,21,11,27,24,1180,100,2,70,0,3,584,
2025,2,21,11,27,25,1180,100,2,72,0,3,584,
2025,2,21,11,27,26,1180,100,2,74,0,3,584,
2025,2,21,11,27,27,1180,100,2,76,0,3,584,
2025,2,21,11,27,28,1180,100,2,77,0,3,584,
2025,2,21,11,27,29,1180,100,2,79,0,3,584,
2025,2,21,11,27,30,1180,100,2,81,0,3,584,
2025,2,21,11,27,31,1180,100,2,83,0,3,584,
2025,2,21,11,27,32,1180,100,2,85,0,3,584,
2025,2,21,11,27,33,1180,100,2,86,0,3,584,
2025,2,21,11,27,34,1180,100,2,88,0,3,584,
2025,2,21,11,27,35,1190,100,2,90,0,3,584,
2025,2,21,11,27,36,1190,100,2,92,0,3,584,
2025,2,21,11,27,37,1190,100,2,93,0,3,584,
2025,2,21,11,27,38,1200,100,2,95,0,3,584,
2025,2,21,11,27,39,1210,100,2,97,0,3,584,
2025,2,21,11,27,40,1210,100,2,99,0,3,584,
2025,2,21,11,27,41,1210,100,2,101,0,3,584,
2025,2,21,11,27,42,1210,100,2,102,0,3,584,
2025,2,21,11,27,43,1210,100,2,104,0,3,584,
2025,2,21,11,27,44,1210,100,2,106,0,3,584,
2025,2,21,11,27,45,1220,100,2,108,0,3,584,
2025,2,21,11,27,46,1220,100,2,109,0,3,584,
2025,2,21,11,27,47,1220,100,2,111,0,3,584,
2025,2,21,11,27,48,1220,100,2,113,0,3,584,
2025,2,21,11,27,49,1220,100,2,115,0,3,584,
2025,2,21,11,27,50,1220,100,2,117,0,3,584,
2025,2,21,11,27,51,1220,100,2,119,0,3,584,
2025,2,21,11,27,52,1220,100,2,120,0,3,584,
2025,2,21,11,27,53,1210,100,2,122,0,3,584,
2025,2,21,11,27,54,1210,100,2,124,0,3,584,
2025,2,21,11,27,55,1210,100,2,126,0,3,584,
2025,2,21,11,27,56,1210,100,2,127,0,3,584,
2025,2,21,11,27,57,1210,100,2,129,0,3,584,
2025,2,21,11,27,58,1200,100,2,131,0,3,584,
2025,2,21,11,27,59,1200,100,2,133,0,3,584,
2025,2,21,11,28,0,1200,100,2,134,0,3,584,
2025,2,21,11,28,1,1200,100,2,136,0,3,584,
2025,2,21,11,28,2,1200,100,2,138,0,3,584,
2025,2,21,11,28,3,1200,100,2,140,0,3,584,
2025,2,21,11,28,4,1210,100,2,141,0,3,584,
2025,2,21,11,28,5,1210,100,2,143,0,3,584,
2025,2,21,11,28,6,1210,100,2,145,0,3,584,
2025,2,21,11,28,7,1220,100,2,147,0,3,584,
2025,2,21,11,28,8,1220,100,2,149,0,3,584,
2025,2,21,11,28,9,1210,100,2,150,0,3,584,
2025,2,21,11,28,10,1210,100,2,152,0,3,584,
2025,2,21,11,28,11,1220,100,2,154,0,3,584,
2025,2,21,11,28,12,1220,100,2,156,0,3,584,
2025,2,21,11,28,13,1220,100,2,158,0,3,584,
2025,2,21,11,28,14,1220,100,2,159,0,3,584,
2025,2,21,11,28,15,1220,100,2,161,0,3,584,
2025,2,21,11,28,16,1230,100,2,163,0,3,584,
2025,2,21,11,28,17,1230,100,2,165,0,3,584,
2025,2,21,11,28,18,1230,100,2,166,0,3,584,
2025,2,21,11,28,19,1230,100,2,168,0,3,584,
2025,2,21,11,28,20,1230,100,2,170,0,3,584,
2025,2,21,11,28,21,1220,100,2,172,0,3,584,
2025,2,21,11,28,22,1220,100,2,173,0,3,584,
2025,2,21,11,28,23,1220,100,2,175,0,3,584,
2025,2,21,11,28,24,1220,100,2,177,0,3,584,
2025,2,21,11,28,25,1220,100,2,179,0,3,584,
2025,2,21,11,28,26,1220,100,2,181,0,3,584,
2025,2,21,11,28,27,1220,100,2,182,0,3,584,
2025,2,21,11,28,28,1220,100,2,184,0,3,584,
2025,2,21,11,28,29,1220,100,2,186,0,3,584,
2025,2,21,11,28,30,1220,100,2,188,0,3,584,
2025,2,21,11,28,31,1220,100,2,189,0,3,584,
2025,2,21,11,28,32,1220,100,2,191,0,3,584,
2025,2,21,11,28,33,1220,100,2,193,0,3,584,
2025,2,21,11,28,34,1220,100,2,195,0,3,584,
2025,2,21,11,28,35,1230,100,2,197,0,3,584,
2025,2,21,11,28,36,1230,100,2,198,0,3,584,
2025,2,21,11,28,37,1230,100,2,200,0,3,584,
2025,2,21,11,28,38,1230,100,2,202,0,3,584,
2025,2,21,11,28,39,1230,100,2,204,0,3,584,
2025,2,21,11,28,40,1230,100,2,205,0,3,584,
2025,2,21,11,28,41,1230,100,2,207,0,3,584,
2025,2,21,11,28,42,1230,100,2,209,0,3,584,
2025,2,21,11,28,43,1230,100,2,211,0,3,584,
2025,2,21,11,28,44,1220,100,2,213,0,3,584,
2025,2,21,11,28,45,1220,100,2,214,0,3,584,
2025,2,21,11,28,46,1220,100,2,216,0,3,584,
2025,2,21,11,28,47,1220,100,2,218,0,3,584,
2025,2,21,11,28,48,1210,100,2,220,0,3,584,
2025,2,21,11,28,49,1210,100,2,221,0,3,584,
2025,2,21,11,28,50,1210,100,2,223,0,3,584,
2025,2,21,11,28,51,1210,100,2,225,0,3,584,
2025,2,21,11,28,52,1210,100,2,227,0,3,584,
2025,2,21,11,28,52,1210,100,2,229,0,3,584,
2025,2,21,11,28,53,1210,100,2,230,0,3,584,
2025,2,21,11,28,54,1210,100,2,232,0,3,584,
2025,2,21,11,28,55,1210,100,2,234,0,3,584,
2025,2,21,11,28,56,1220,100,2,236,0,3,584,
2025,2,21,11,28,57,1220,100,2,237,0,3,584,
2025,2,21,11,28,58,1220,100,2,239,0,3,584,
2025,2,21,11,28,59,1220,100,2,241,0,3,584,
2025,2,21,11,29,0,1220,100,2,243,0,3,584,
2025,2,21,11,29,1,1220,100,2,245,0,3,584,
2025,2,21,11,29,2,1230,100,2,246,0,3,584,
2025,2,21,11,29,3,1230,100,2,248,0,3,584,
2025,2,21,11,29,4,1230,100,2,250,0,3,584,
2025,2,21,11,29,5,1240,100,2,252,0,3,584,
2025,2,21,11,29,6,1240,100,2,253,0,3,584,
2025,2,21,11,29,7,1240,100,2,255,0,3,584,
2025,2,21,11,29,8,1240,100,2,257,0,3,584,
