Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5
2025-04-16 17:01:49.413,108559,15487,20922,93896,118665
2025-04-16 17:01:49.445,108575,15486,20925,93897,118690
2025-04-16 17:01:49.447,108596,15488,20932,93913,118712
2025-04-16 17:01:49.447,108604,15493,20932,93930,118724
2025-04-16 17:01:49.448,108617,15497,20928,93943,118740
2025-04-16 17:01:49.449,108630,15496,20934,93957,118753
2025-04-16 17:01:49.450,108638,15497,20936,93975,118771
2025-04-16 17:01:49.451,108642,15498,20933,93971,118756
2025-04-16 17:01:49.452,108645,15502,20942,93947,118751
2025-04-16 17:01:49.453,108666,15503,20941,93966,118743
2025-04-16 17:01:49.454,108655,15506,20945,93968,118753
2025-04-16 17:01:49.455,108666,15512,20947,93975,118767
2025-04-16 17:01:49.461,108682,15520,20953,93989,118765
2025-04-16 17:01:49.470,108695,15522,20959,93985,118794
2025-04-16 17:01:49.481,108701,15525,20962,93996,118790
2025-04-16 17:01:49.493,108708,15530,20962,94014,118808
2025-04-16 17:01:49.870,108720,15533,20971,94000,118804
2025-04-16 17:01:49.872,108730,15540,20972,94034,118804
2025-04-16 17:01:49.873,108750,15538,20977,94024,118818
2025-04-16 17:01:49.874,108748,15539,20979,94030,118831
2025-04-16 17:01:49.876,108757,15543,20988,94046,118842
2025-04-16 17:01:49.877,108774,15552,20992,94045,118846
2025-04-16 17:01:49.879,108776,15556,20995,94071,118841
2025-04-16 17:01:49.880,108792,15559,21008,94078,118876
2025-04-16 17:01:49.882,108800,15565,21015,94098,118889
2025-04-16 17:01:49.884,108820,15572,21021,94115,118931
2025-04-16 17:01:49.885,108836,15581,21030,94133,118939
2025-04-16 17:01:49.886,108838,15585,21035,94136,118945
2025-04-16 17:01:49.887,108862,15592,21045,94156,118962
2025-04-16 17:01:49.888,108891,15595,21050,94171,118994
2025-04-16 17:01:49.890,108904,15599,21055,94181,118989
2025-04-16 17:01:49.891,108910,15601,21064,94192,118995
2025-04-16 17:01:49.893,108922,15613,21073,94179,118982
2025-04-16 17:01:49.895,108931,15620,21083,94189,118988
2025-04-16 17:01:49.896,108949,15629,21094,94195,118988
2025-04-16 17:01:49.898,108967,15638,21101,94209,119031
2025-04-16 17:01:49.899,108995,15650,21115,94231,119050
2025-04-16 17:01:49.901,109013,15654,21125,94245,119054
2025-04-16 17:01:49.902,109013,15662,21132,94262,119063
2025-04-16 17:01:49.903,108997,15662,21131,94275,119058
2025-04-16 17:01:49.904,109001,15668,21140,94251,119057
2025-04-16 17:01:49.905,108985,15677,21144,94255,119060
2025-04-16 17:01:49.906,108972,15675,21142,94263,119058
2025-04-16 17:01:49.907,108958,15673,21134,94245,119056
2025-04-16 17:01:49.908,108949,15667,21133,94242,119043
2025-04-16 17:01:49.909,108939,15659,21123,94251,119054
2025-04-16 17:01:49.909,108925,15659,21111,94237,119023
2025-04-16 17:01:49.910,108906,15648,21106,94222,119021
2025-04-16 17:01:49.911,108887,15641,21088,94222,118998
2025-04-16 17:01:49.912,108878,15629,21081,94209,118993
2025-04-16 17:01:49.912,108884,15632,21074,94218,118994
2025-04-16 17:01:49.913,108882,15626,21064,94217,118990
2025-04-16 17:01:49.914,108872,15623,21066,94216,118999
2025-04-16 17:01:49.930,108890,15621,21068,94224,119005
2025-04-16 17:01:49.931,108889,15623,21063,94231,118989
2025-04-16 17:01:49.932,108893,15624,21064,94241,119009
2025-04-16 17:01:49.933,108908,15627,21067,94245,119033
2025-04-16 17:01:49.933,108926,15630,21062,94253,119036
2025-04-16 17:01:49.934,108929,15629,21068,94283,119052
2025-04-16 17:01:49.935,108947,15636,21073,94287,119057
2025-04-16 17:01:49.945,108977,15639,21084,94299,119066
2025-04-16 17:01:49.956,108974,15641,21084,94320,119094
2025-04-16 17:01:49.965,108999,15647,21095,94342,119108
2025-04-16 17:01:49.976,109002,15655,21098,94341,119132
2025-04-16 17:01:49.992,109007,15661,21106,94359,119138
2025-04-16 17:01:49.997,109024,15660,21113,94369,119152
2025-04-16 17:01:50.005,109023,15667,21119,94377,119164
2025-04-16 17:01:50.017,109031,15667,21120,94366,119163
2025-04-16 17:01:50.025,109038,15669,21123,94369,119166
2025-04-16 17:01:50.036,109028,15672,21128,94377,119158
2025-04-16 17:01:50.055,109034,15677,21132,94377,119157
2025-04-16 17:01:50.057,109042,15680,21137,94384,119167
2025-04-16 17:01:50.069,109039,15685,21136,94394,119186
2025-04-16 17:01:50.070,109039,15685,21136,94394,119186
2025-04-16 17:01:50.076,109053,15689,21146,94395,119184
2025-04-16 17:01:50.084,109057,15696,21147,94398,119187
2025-04-16 17:01:50.097,109069,15693,21144,94400,119185
2025-04-16 17:01:50.104,109054,15695,21152,94389,119195
2025-04-16 17:01:50.119,109065,15697,21156,94396,119187
2025-04-16 17:01:50.125,109075,15701,21159,94407,119186
2025-04-16 17:01:50.136,109093,15699,21168,94393,119169
2025-04-16 17:01:50.145,109106,15708,21171,94411,119192
2025-04-16 17:01:50.157,109116,15714,21175,94398,119190
2025-04-16 17:01:50.164,109128,15720,21184,94388,119197
2025-04-16 17:01:50.184,109127,15722,21186,94395,119188
2025-04-16 17:01:50.185,109126,15730,21191,94415,119211
2025-04-16 17:01:50.197,109138,15731,21195,94411,119188
2025-04-16 17:01:50.209,109141,15735,21200,94415,119202
2025-04-16 17:01:50.217,109152,15742,21205,94423,119219
2025-04-16 17:01:50.228,109149,15741,21210,94420,119215
2025-04-16 17:01:50.246,109145,15745,21216,94427,119231
2025-04-16 17:01:50.249,109150,15749,21215,94430,119229
2025-04-16 17:01:50.256,109148,15751,21220,94435,119237
