Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5
2025-04-16 16:47:46.341,95315,14303,18018,83941,97861
2025-04-16 16:47:46.361,116645,14297,18009,94081,121742
2025-04-16 16:47:46.363,116651,14299,18010,94083,121723
2025-04-16 16:47:46.363,116645,14311,18018,94069,121691
2025-04-16 16:47:46.364,116642,14331,18035,94083,121676
2025-04-16 16:47:46.365,116642,14343,18049,94095,121674
2025-04-16 16:47:46.370,116626,14360,18065,94100,121671
2025-04-16 16:47:46.378,116636,14358,18068,94095,121665
2025-04-16 16:47:46.390,116636,14372,18074,94097,121662
2025-04-16 16:47:46.398,116651,14382,18085,94104,121674
2025-04-16 16:47:46.410,116647,14383,18092,94127,121673
2025-04-16 16:47:46.426,116663,14394,18098,94139,121698
2025-04-16 16:47:46.430,116670,14392,18098,94153,121725
2025-04-16 16:47:46.438,116662,14393,18104,94153,121721
2025-04-16 16:47:46.450,116639,14396,18105,94134,121707
2025-04-16 16:47:46.458,116643,14399,18108,94132,121699
2025-04-16 16:47:46.470,116637,14400,18102,94122,121673
2025-04-16 16:47:46.488,116636,14400,18114,94113,121658
2025-04-16 16:47:46.490,116642,14408,18121,94122,121684
2025-04-16 16:47:46.501,116653,14416,18122,94131,121681
2025-04-16 16:47:46.518,116635,14417,18127,94140,121679
2025-04-16 16:47:46.522,116635,14417,18127,94140,121679
2025-04-16 16:47:46.526,116635,14417,18127,94140,121679
2025-04-16 16:47:46.526,116635,14417,18127,94140,121679
2025-04-16 16:47:46.530,116635,14417,18127,94140,121679
2025-04-16 16:47:46.533,116635,14417,18127,94140,121679
2025-04-16 16:47:46.534,116635,14417,18127,94140,121679
2025-04-16 16:47:46.550,116635,14417,18127,94140,121679
2025-04-16 16:47:46.551,116635,14417,18127,94140,121679
2025-04-16 16:47:46.552,116474,14432,18147,94026,121529
2025-04-16 16:47:46.554,116465,14434,18154,94026,121535
2025-04-16 16:47:46.562,116451,14437,18150,93997,121521
2025-04-16 16:47:46.574,116437,14436,18154,93993,121491
2025-04-16 16:47:46.586,116412,14438,18150,93950,121477
2025-04-16 16:47:46.593,116382,14436,18143,93938,121444
2025-04-16 16:47:46.613,116360,14427,18147,93929,121416
2025-04-16 16:47:46.614,116348,14426,18140,93904,121398
2025-04-16 16:47:46.626,116340,14419,18134,93900,121363
2025-04-16 16:47:46.634,116311,14417,18128,93894,121378
2025-04-16 16:47:46.646,116290,14410,18126,93888,121370
2025-04-16 16:47:46.654,116277,14401,18116,93866,121349
2025-04-16 16:47:46.676,116265,14390,18104,93843,121324
2025-04-16 16:47:46.677,116250,14388,18100,93837,121321
2025-04-16 16:47:46.686,116258,14377,18088,93830,121334
2025-04-16 16:47:46.693,116248,14372,18082,93831,121316
2025-04-16 16:47:46.707,116263,14366,18073,93840,121332
2025-04-16 16:47:46.714,116262,14360,18067,93825,121341
2025-04-16 16:47:46.738,116272,14356,18059,93840,121349
2025-04-16 16:47:46.740,116296,14351,18049,93836,121353
2025-04-16 16:47:46.741,116296,14351,18049,93836,121353
2025-04-16 16:47:46.742,116296,14351,18049,93836,121353
2025-04-16 16:47:46.745,116325,14348,18047,93843,121382
2025-04-16 16:47:46.754,116354,14351,18051,93857,121417
2025-04-16 16:47:46.766,116367,14353,18049,93880,121438
2025-04-16 16:47:46.773,116385,14357,18051,93890,121455
2025-04-16 16:47:46.786,116387,14353,18049,93893,121468
2025-04-16 16:47:46.801,116375,14355,18046,93892,121453
2025-04-16 16:47:46.806,116368,14355,18051,93850,121428
2025-04-16 16:47:46.818,116360,14354,18049,93852,121415
2025-04-16 16:47:46.826,116352,14358,18055,93841,121404
2025-04-16 16:47:46.838,116353,14366,18059,93839,121411
2025-04-16 16:47:46.846,116341,14368,18057,93833,121394
2025-04-16 16:47:46.864,116345,14372,18062,93832,121397
2025-04-16 16:47:46.866,116323,14380,18066,93829,121392
2025-04-16 16:47:46.878,116311,14377,18071,93807,121381
2025-04-16 16:47:46.885,116287,14381,18067,93787,121346
2025-04-16 16:47:46.897,116265,14381,18076,93757,121327
2025-04-16 16:47:46.906,116252,14381,18081,93760,121313
2025-04-16 16:47:46.926,116233,14388,18081,93733,121294
2025-04-16 16:47:46.927,116223,14395,18088,93740,121290
2025-04-16 16:47:46.938,116228,14401,18097,93751,121304
2025-04-16 16:47:46.946,116230,14403,18105,93746,121314
2025-04-16 16:47:46.958,116222,14407,18107,93741,121303
2025-04-16 16:47:46.965,116225,14411,18113,93725,121261
2025-04-16 16:47:46.989,116221,14416,18114,93702,121264
2025-04-16 16:47:46.990,116227,14418,18123,93714,121257
2025-04-16 16:47:46.997,116238,14429,18135,93715,121279
2025-04-16 16:47:47.005,116258,14434,18138,93726,121272
2025-04-16 16:47:47.018,116259,14440,18144,93729,121300
2025-04-16 16:47:47.025,116262,14446,18150,93760,121324
2025-04-16 16:47:47.037,116268,14449,18155,93742,121311
2025-04-16 16:47:47.052,116277,14450,18158,93742,121300
2025-04-16 16:47:47.058,116274,14454,18164,93730,121294
2025-04-16 16:47:47.070,116268,14462,18168,93717,121293
2025-04-16 16:47:47.078,116287,14469,18178,93748,121328
2025-04-16 16:47:47.090,116310,14479,18185,93751,121334
2025-04-16 16:47:47.097,116321,14484,18195,93778,121347
2025-04-16 16:47:47.115,116337,14496,18204,93786,121374
2025-04-16 16:47:47.118,116336,14496,18208,93799,121383
2025-04-16 16:47:47.129,116329,14494,18207,93795,121389
2025-04-16 16:47:47.141,116313,14494,18206,93771,121356
2025-04-16 16:47:47.142,116313,14494,18206,93771,121356
2025-04-16 16:47:47.149,116311,14503,18217,93774,121339
2025-04-16 16:47:47.158,116327,14507,18219,93761,121359
2025-04-16 16:47:47.178,116330,14516,18228,93778,121358
2025-04-16 16:47:47.179,116331,14518,18231,93788,121380
2025-04-16 16:47:47.190,116329,14521,18238,93805,121383
2025-04-16 16:47:47.197,116292,14512,18233,93796,121386
2025-04-16 16:47:47.210,116267,14508,18224,93752,121336
2025-04-16 16:47:47.217,116234,14505,18218,93699,121275
2025-04-16 16:47:47.241,116212,14503,18217,93689,121267
2025-04-16 16:47:47.242,116208,14499,18211,93678,121255
2025-04-16 16:47:47.249,116187,14495,18206,93661,121235
2025-04-16 16:47:47.257,116166,14491,18206,93668,121204
2025-04-16 16:47:47.269,116145,14485,18196,93659,121220
2025-04-16 16:47:47.281,116113,14475,18184,93635,121200
2025-04-16 16:47:47.290,116086,14465,18175,93613,121172
2025-04-16 16:47:47.304,116067,14461,18165,93596,121148
2025-04-16 16:47:47.310,116054,14452,18153,93586,121117
2025-04-16 16:47:47.321,116044,14440,18144,93566,121109
2025-04-16 16:47:47.330,116033,14432,18131,93557,121109
2025-04-16 16:47:47.341,116037,14425,18126,93563,121117
2025-04-16 16:47:47.350,116035,14418,18119,93575,121122
2025-04-16 16:47:47.369,116045,14417,18108,93585,121136
2025-04-16 16:47:47.371,116054,14409,18105,93597,121160
2025-04-16 16:47:47.382,116067,14408,18097,93625,121174
2025-04-16 16:47:47.390,116089,14407,18094,93607,121198
2025-04-16 16:47:47.401,116096,14407,18094,93641,121224
2025-04-16 16:47:47.410,116113,14402,18092,93662,121231
2025-04-16 16:47:47.431,116124,14399,18084,93676,121236
2025-04-16 16:47:47.433,116135,14402,18084,93679,121255
2025-04-16 16:47:47.441,116130,14395,18082,93683,121262
2025-04-16 16:47:47.449,116146,14396,18078,93687,121239
2025-04-16 16:47:47.462,116156,14396,18078,93694,121253
2025-04-16 16:47:47.469,116177,14400,18083,93703,121283
2025-04-16 16:47:47.494,116176,14405,18082,93712,121293
2025-04-16 16:47:47.495,116175,14403,18081,93716,121308
2025-04-16 16:47:47.502,116175,14405,18086,93727,121306
2025-04-16 16:47:47.514,116184,14398,18080,93733,121308
