Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5,PPG6
2025-02-21 17:55:29.044,56708,19466,11301,4,197858,262826
2025-02-21 17:55:30.082,56753,19557,11350,4,197978,263001
2025-02-21 17:55:32.804,56791,19660,11407,4,198091,263199
2025-02-21 17:55:32.819,56784,19693,11429,3,198071,263233
2025-02-21 17:55:32.857,56705,19465,11343,3,197862,262910
2025-02-21 17:55:33.723,56748,19444,11344,4,197890,262981
2025-02-21 17:55:34.035,56755,19466,11359,4,197912,263017
2025-02-21 17:55:34.038,56768,19509,11376,3,197943,263080
2025-02-21 17:55:34.040,56787,19584,11406,4,197967,263171
2025-02-21 17:55:34.043,56803,19655,11436,4,197995,263266
2025-02-21 17:55:34.045,56736,19511,11385,2,197784,263003
2025-02-21 17:55:34.047,56763,19375,11341,4,197784,262945
2025-02-21 17:55:34.050,56817,19403,11364,4,197845,263075
2025-02-21 17:55:34.052,56827,19441,11389,3,197865,263145
2025-02-21 17:55:34.054,56839,19512,11422,3,197904,263236
2025-02-21 17:55:34.055,56844,19588,11453,4,197936,263316
2025-02-21 17:55:34.058,56821,19620,11464,4,197888,263332
2025-02-21 17:55:34.064,56655,19361,11344,4,197534,262824
2025-02-21 17:55:34.066,56614,19285,11294,3,197440,262690
2025-02-21 17:55:34.068,56597,19299,11290,4,197407,262649
2025-02-21 17:55:34.070,56622,19354,11312,4,197469,262756
2025-02-21 17:55:34.071,56662,19452,11359,3,197568,262928
2025-02-21 17:55:34.072,56682,19547,11400,4,197633,263071
2025-02-21 17:55:34.074,56610,19485,11374,4,197465,262889
2025-02-21 17:55:34.075,56537,19288,11290,3,197308,262608
2025-02-21 17:55:34.077,56549,19299,11293,4,197316,262651
2025-02-21 17:55:34.078,56520,19312,11296,4,197277,262604
2025-02-21 17:55:34.080,56517,19370,11317,5,197306,262674
2025-02-21 17:55:34.082,56530,19446,11349,4,197338,262754
2025-02-21 17:55:34.084,56537,19506,11377,4,197347,262828
2025-02-21 17:55:34.192,56463,19314,11310,4,197144,262523
2025-02-21 17:55:34.194,56518,19276,11307,3,197223,262599
2025-02-21 17:55:34.196,56574,19342,11350,3,197311,262752
2025-02-21 17:55:34.197,56613,19415,11395,4,197401,262893
2025-02-21 17:55:34.199,56663,19523,11453,4,197510,263086
2025-02-21 17:55:34.201,56713,19633,11513,3,197620,263278
2025-02-21 17:55:34.202,56707,19648,11536,2,197587,263294
2025-02-21 17:55:34.204,56656,19457,11471,3,197444,263072
2025-02-21 17:55:34.205,56687,19469,11483,3,197492,263169
2025-02-21 17:55:34.207,56669,19505,11498,4,197452,263162
2025-02-21 17:55:34.209,56645,19556,11513,3,197444,263174
2025-02-21 17:55:34.210,56643,19641,11539,5,197454,263239
2025-02-21 17:55:34.212,56655,19738,11576,4,197478,263345
2025-02-21 17:55:34.214,56587,19665,11548,3,197303,263137
2025-02-21 17:55:34.216,56572,19536,11500,3,197268,263032
2025-02-21 17:55:34.218,56584,19580,11520,4,197305,263108
2025-02-21 17:55:34.220,56565,19608,11527,3,197291,263118
2025-02-21 17:55:34.222,56549,19669,11539,4,197267,263139
2025-02-21 17:55:34.224,56549,19749,11566,3,197279,263189
2025-02-21 17:55:34.226,56568,19827,11597,4,197311,263268
2025-02-21 17:55:34.228,56499,19648,11536,4,197112,262989
2025-02-21 17:55:34.230,56566,19645,11544,3,197251,263155
2025-02-21 17:55:34.234,56604,19711,11582,3,197328,263283
2025-02-21 17:55:34.237,56634,19771,11617,4,197388,263381
2025-02-21 17:55:34.348,56667,19875,11667,4,197460,263528
2025-02-21 17:55:34.350,56684,19972,11707,4,197495,263652
2025-02-21 17:55:34.352,56647,19968,11707,4,197394,263579
2025-02-21 17:55:34.354,56573,19779,11624,4,197212,263302
2025-02-21 17:55:34.356,56576,19798,11617,4,197234,263354
2025-02-21 17:55:34.358,56603,19837,11630,4,197236,263385
2025-02-21 17:55:34.360,56657,19923,11670,5,197335,263541
2025-02-21 17:55:34.362,56657,20014,11705,5,197344,263635
2025-02-21 17:55:34.363,56633,20067,11718,4,197274,263616
2025-02-21 17:55:34.364,56565,19880,11643,4,197037,263302
2025-02-21 17:55:34.366,56605,19851,11626,4,197145,263411
2025-02-21 17:55:34.368,56624,19890,11639,4,197196,263452
2025-02-21 17:55:34.370,56661,19941,11660,4,197278,263562
2025-02-21 17:55:34.372,56696,20031,11696,3,197370,263714
2025-02-21 17:55:34.373,56732,20121,11736,3,197431,263843
2025-02-21 17:55:34.378,56700,20025,11704,4,197283,263696
2025-02-21 17:55:34.380,56715,19893,11651,4,197248,263661
2025-02-21 17:55:34.381,56747,19923,11658,2,197325,263746
2025-02-21 17:55:34.480,56761,19954,11668,3,197367,263785
2025-02-21 17:55:34.541,56795,20033,11696,3,197450,263907
2025-02-21 17:55:34.696,56802,20114,11724,3,197457,263975
2025-02-21 17:55:34.722,56738,20094,11700,3,197296,263847
2025-02-21 17:55:34.847,56644,19880,11592,4,197017,263509
2025-02-21 17:55:35.058,56681,19887,11582,4,197065,263609
2025-02-21 17:55:35.060,56696,19911,11591,4,197128,263649
2025-02-21 17:55:35.191,56710,19967,11613,3,197190,263737
2025-02-21 17:55:35.214,56714,20039,11641,4,197199,263798
2025-02-21 17:55:35.336,56691,20062,11646,3,197136,263775
2025-02-21 17:55:35.465,56624,19838,11560,3,196957,263465
2025-02-21 17:55:35.612,56674,19819,11554,3,197065,263593
2025-02-21 17:55:35.617,56690,19843,11570,3,197096,263635
2025-02-21 17:55:35.790,56704,19881,11591,3,197133,263690
2025-02-21 17:55:35.810,56711,19946,11620,4,197155,263742
2025-02-21 17:55:35.944,56735,20007,11649,5,197170,263809
2025-02-21 17:55:36.074,56705,19826,11596,3,197052,263590
2025-02-21 17:55:36.110,56794,19772,11597,3,197206,263765
2025-02-21 17:55:36.223,56831,19809,11628,4,197235,263881
2025-02-21 17:55:36.345,56860,19857,11661,4,197249,263965
2025-02-21 17:55:36.498,56902,19943,11705,3,197309,264097
2025-02-21 17:55:36.513,56938,20033,11752,4,197378,264230
2025-02-21 17:55:36.674,56888,19950,11728,4,197231,264047
2025-02-21 17:55:36.714,56878,19780,11670,3,197196,263925
2025-02-21 17:55:36.822,56897,19791,11675,5,197233,263986
2025-02-21 17:55:36.945,56892,19805,11683,4,197188,263987
2025-02-21 17:55:37.124,56892,19860,11705,4,197167,264009
2025-02-21 17:55:37.127,56882,19919,11725,4,197133,264022
2025-02-21 17:55:37.268,56874,19932,11732,3,197064,263986
2025-02-21 17:55:37.306,56870,19723,11669,3,196981,263787
2025-02-21 17:55:37.511,56941,19710,11678,4,197115,263930
2025-02-21 17:55:37.513,56967,19743,11702,4,197110,263978
2025-02-21 17:55:37.702,57007,19804,11732,4,197075,264038
2025-02-21 17:55:37.709,57125,19911,11793,4,197130,264200
2025-02-21 17:55:37.988,57341,20048,11881,2,197350,264528
2025-02-21 17:55:37.990,57430,19966,11885,4,197348,264489
2025-02-21 17:55:38.001,57536,19887,11888,3,197505,264560
2025-02-21 17:55:38.231,57566,19927,11917,4,197572,264663
2025-02-21 17:55:38.233,57567,19963,11946,4,197552,264669
2025-02-21 17:55:38.439,57562,20062,11996,4,197672,264858
2025-02-21 17:55:38.442,57576,20174,12047,3,197760,265036
2025-02-21 17:55:38.573,57620,20251,12082,4,197786,265128
2025-02-21 17:55:38.606,57501,20086,12021,4,197582,264787
2025-02-21 17:55:38.750,57555,20104,12035,3,197642,264884
2025-02-21 17:55:38.955,57383,20106,12007,4,197409,264623
2025-02-21 17:55:38.957,57307,20123,11993,3,197295,264474
2025-02-21 17:55:39.113,57440,20287,12091,3,197731,265057
2025-02-21 17:55:39.116,57439,20457,12211,4,198185,265708
2025-02-21 17:55:39.334,57264,20413,12229,4,198221,265745
2025-02-21 17:55:39.336,56960,20328,12225,4,198295,265807
2025-02-21 17:55:39.487,56846,20436,12303,3,198624,266349
2025-02-21 17:55:39.497,56792,20515,12356,4,198763,266692
2025-02-21 17:55:39.640,56856,20658,12444,3,199030,267194
2025-02-21 17:55:39.793,57011,20832,12545,4,199342,267667
2025-02-21 17:55:39.796,56864,20857,12539,4,199256,267563
