year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,16,30,12,670,75,0,0,0,1,0,
2025,2,21,16,30,13,690,75,0,0,0,1,0,
2025,2,21,16,30,13,700,75,0,0,0,1,0,
2025,2,21,16,30,15,710,75,0,0,0,1,0,
2025,2,21,16,30,16,720,50,0,0,0,1,0,
2025,2,21,16,30,16,730,50,0,0,0,1,0,
2025,2,21,16,30,17,740,0,0,0,0,3,0,
2025,2,21,16,30,18,740,50,0,0,0,3,0,
2025,2,21,16,30,19,740,50,0,0,0,3,0,
2025,2,21,16,30,20,750,50,0,0,0,3,0,
2025,2,21,16,30,21,750,25,0,0,0,3,0,
2025,2,21,16,30,22,740,25,0,0,0,3,0,
2025,2,21,16,30,23,740,25,0,0,0,3,0,
2025,2,21,16,30,24,730,25,0,0,0,3,0,
2025,2,21,16,30,25,720,50,0,0,0,3,0,
2025,2,21,16,30,26,710,75,0,0,0,3,0,
2025,2,21,16,30,27,710,100,0,0,0,3,0,
2025,2,21,16,30,28,710,100,0,0,0,3,0,
2025,2,21,16,30,29,710,100,0,0,0,3,0,
2025,2,21,16,30,30,710,100,0,0,0,3,0,
2025,2,21,16,30,31,710,100,0,0,0,3,0,
2025,2,21,16,30,32,700,100,0,0,0,3,0,
2025,2,21,16,30,33,700,100,0,0,0,3,0,
2025,2,21,16,30,34,690,100,0,0,0,3,0,
2025,2,21,16,30,35,690,100,0,0,0,3,0,
2025,2,21,16,30,36,680,100,0,0,0,3,0,
2025,2,21,16,30,37,680,100,0,0,0,3,0,
2025,2,21,16,30,38,680,100,0,0,0,3,0,
2025,2,21,16,30,39,680,100,0,0,0,3,0,
2025,2,21,16,30,40,680,100,0,0,0,3,0,
2025,2,21,16,30,41,670,100,0,0,0,3,0,
2025,2,21,16,30,42,670,100,0,0,0,3,0,
2025,2,21,16,30,43,670,100,0,0,0,3,0,
2025,2,21,16,30,44,670,100,0,0,0,3,0,
2025,2,21,16,30,45,670,50,0,0,0,3,584,
2025,2,21,16,30,46,670,75,0,0,0,3,584,
2025,2,21,16,30,47,670,75,0,0,0,3,584,
2025,2,21,16,30,48,680,100,0,0,0,3,584,
2025,2,21,16,30,49,680,100,0,0,0,3,584,
2025,2,21,16,30,50,690,100,0,0,0,3,584,
2025,2,21,16,30,51,690,100,0,0,0,3,584,
2025,2,21,16,30,52,700,100,0,0,0,3,584,
2025,2,21,16,30,53,700,100,0,0,0,3,584,
2025,2,21,16,30,54,700,100,0,0,0,3,584,
2025,2,21,16,30,55,710,100,0,0,0,3,584,
2025,2,21,16,30,56,710,100,0,0,0,3,584,
2025,2,21,16,30,57,710,100,0,0,0,3,584,
2025,2,21,16,30,58,710,100,0,0,0,3,584,
2025,2,21,16,30,59,710,100,0,0,0,3,773,
2025,2,21,16,31,0,710,100,0,0,0,3,867,
2025,2,21,16,31,1,710,100,0,0,0,3,959,
2025,2,21,16,31,2,700,100,0,0,0,3,1033,
2025,2,21,16,31,3,700,100,0,0,0,3,1033,
2025,2,21,16,31,4,690,100,0,0,0,3,1033,
2025,2,21,16,31,5,680,100,0,0,0,3,1033,
2025,2,21,16,31,6,680,100,0,0,0,3,1033,
2025,2,21,16,31,7,670,100,0,0,0,3,1033,
2025,2,21,16,31,8,670,100,0,0,0,3,1033,
2025,2,21,16,31,9,660,100,0,0,0,3,1033,
2025,2,21,16,31,10,660,100,0,0,0,3,1033,
2025,2,21,16,31,11,660,100,0,0,0,3,1033,
2025,2,21,16,31,12,650,100,0,0,0,3,1033,
2025,2,21,16,31,13,650,100,0,0,0,3,1033,
2025,2,21,16,31,14,650,100,0,0,0,3,1033,
2025,2,21,16,31,15,650,100,0,0,0,3,1033,
2025,2,21,16,31,16,650,100,0,0,0,3,1033,
2025,2,21,16,31,17,650,100,0,0,0,3,1033,
2025,2,21,16,31,18,650,100,0,0,0,3,1033,
2025,2,21,16,31,19,660,100,0,0,0,3,1033,
2025,2,21,16,31,20,660,100,0,0,0,3,1033,
2025,2,21,16,31,21,660,100,0,0,0,3,1033,
2025,2,21,16,31,22,660,100,0,0,0,3,1033,
2025,2,21,16,31,23,660,100,0,0,0,3,1033,
2025,2,21,16,31,24,650,100,0,0,0,3,1033,
2025,2,21,16,31,25,650,100,0,0,0,3,1131,
2025,2,21,16,31,26,650,100,0,0,0,3,1204,
2025,2,21,16,31,27,650,100,0,0,0,3,1259,
2025,2,21,16,31,28,640,100,0,0,0,3,1303,
2025,2,21,16,31,29,640,100,0,0,0,3,1327,
2025,2,21,16,31,30,630,100,0,0,0,3,1347,
2025,2,21,16,31,31,630,100,0,0,0,3,1366,
2025,2,21,16,31,32,620,100,0,0,0,3,1384,
2025,2,21,16,31,33,620,100,0,0,0,3,1401,
2025,2,21,16,31,34,610,100,0,0,0,3,1415,
2025,2,21,16,31,35,610,100,0,0,0,3,1429,
2025,2,21,16,31,36,610,100,0,0,0,3,1441,
2025,2,21,16,31,37,610,100,0,0,0,3,1455,
2025,2,21,16,31,38,610,100,0,0,0,3,1470,
2025,2,21,16,31,39,600,100,0,0,0,3,1485,
2025,2,21,16,31,40,600,100,0,0,0,3,1497,
2025,2,21,16,31,41,600,100,0,0,0,3,1509,
2025,2,21,16,31,42,590,100,0,0,0,3,1513,
2025,2,21,16,31,43,590,100,0,0,0,3,1517,
2025,2,21,16,31,44,590,100,0,0,0,3,1521,
2025,2,21,16,31,45,580,100,0,0,0,3,1524,
2025,2,21,16,31,46,580,100,0,0,0,3,1530,
2025,2,21,16,31,47,580,100,0,0,0,3,1536,
2025,2,21,16,31,48,570,100,0,0,0,3,1544,
2025,2,21,16,31,49,570,100,0,0,0,3,1551,
2025,2,21,16,31,50,570,100,0,0,0,3,1558,
2025,2,21,16,31,51,570,100,0,0,0,3,1565,
2025,2,21,16,31,52,560,100,0,0,0,3,1571,
2025,2,21,16,31,53,560,100,0,0,0,3,1576,
2025,2,21,16,31,54,560,100,0,0,0,3,1581,
2025,2,21,16,31,55,560,100,0,0,0,3,1586,
2025,2,21,16,31,56,560,100,0,0,0,3,1590,
2025,2,21,16,31,57,560,100,0,0,0,3,1594,
2025,2,21,16,31,58,550,100,0,0,0,3,1597,
2025,2,21,16,31,59,550,100,0,0,0,3,1600,
2025,2,21,16,32,0,550,100,0,0,0,3,1602,
2025,2,21,16,32,1,550,100,0,0,0,3,1604,
2025,2,21,16,32,2,550,100,0,0,0,3,1606,
2025,2,21,16,32,3,550,100,0,0,0,3,1607,
2025,2,21,16,32,4,550,100,0,0,0,3,1609,
2025,2,21,16,32,5,550,100,0,0,0,3,1611,
2025,2,21,16,32,6,550,100,0,0,0,3,1612,
2025,2,21,16,32,7,550,100,0,0,0,3,1613,
