year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,24,18,54,7,660,50,0,0,0,3,565,896,302,212,
2025,2,24,18,54,9,660,50,0,0,0,3,565,893,352,289,
2025,2,24,18,54,9,660,50,0,0,0,3,565,896,351,281,
2025,2,24,18,54,10,660,50,0,0,0,3,565,898,357,273,
2025,2,24,18,54,11,660,50,0,0,0,3,565,901,351,273,
2025,2,24,18,54,12,660,50,0,0,0,3,565,905,354,280,
2025,2,24,18,54,13,670,50,0,0,0,3,565,905,335,275,
2025,2,24,18,54,14,670,50,0,0,0,3,565,907,342,280,
2025,2,24,18,54,15,670,50,0,0,0,3,565,908,350,273,
2025,2,24,18,54,16,670,50,0,0,0,3,555,906,341,278,
2025,2,24,18,54,17,670,50,0,0,0,3,548,905,347,275,
2025,2,24,18,54,18,670,50,0,0,0,3,543,909,347,276,
2025,2,24,18,54,19,670,75,0,0,0,3,542,899,347,279,
2025,2,24,18,54,20,670,100,0,0,0,3,540,895,339,280,
2025,2,24,18,54,21,670,50,0,0,0,3,540,906,349,276,
2025,2,24,18,54,22,670,50,0,0,0,3,539,902,345,282,
2025,2,24,18,54,23,670,50,0,0,0,3,539,906,350,273,
2025,2,24,18,54,24,670,100,0,0,0,3,539,907,340,266,
2025,2,24,18,54,25,670,100,0,0,0,3,539,907,386,252,
2025,2,24,18,54,26,680,100,0,0,0,3,539,854,313,368,
2025,2,24,18,54,27,680,50,0,0,0,3,539,713,514,177,
2025,2,24,18,54,28,680,50,0,0,0,3,539,935,497,124,
2025,2,24,18,54,29,690,50,0,0,0,3,539,1057,521,-108,
2025,2,24,18,54,30,690,50,0,0,0,3,539,789,311,38,
2025,2,24,18,54,31,690,100,1,0,0,3,539,933,558,122,
2025,2,24,18,54,32,690,100,1,0,0,3,539,865,545,-26,
2025,2,24,18,54,33,690,100,1,0,0,3,539,779,516,226,
2025,2,24,18,54,34,700,100,1,0,0,3,539,973,578,89,
2025,2,24,18,54,35,710,100,1,0,0,3,539,940,536,-21,
2025,2,24,18,54,36,720,100,1,0,0,3,539,650,462,213,
2025,2,24,18,54,37,740,75,1,0,0,3,539,1263,1510,-121,
2025,2,24,18,54,38,750,75,1,0,0,3,539,307,421,231,
2025,2,24,18,54,39,750,50,1,0,0,3,539,363,1331,1141,
2025,2,24,18,54,40,760,50,1,0,0,3,539,-153,89,405,
2025,2,24,18,54,41,760,50,2,6,0,3,539,-137,1332,1282,
2025,2,24,18,54,42,770,50,2,7,0,3,539,119,250,435,
2025,2,24,18,54,43,780,50,2,10,0,3,539,-350,440,1240,
2025,2,24,18,54,44,780,50,2,12,0,3,539,-310,531,745,
2025,2,24,18,54,45,770,50,3,13,0,3,539,60,351,284,
2025,2,24,18,54,46,770,50,3,13,2,3,539,-179,1194,1424,
2025,2,24,18,54,47,770,50,3,13,4,3,539,-133,115,477,
2025,2,24,18,54,48,780,50,3,13,7,3,539,-262,653,827,
2025,2,24,18,54,49,790,50,2,15,8,3,539,215,583,698,
2025,2,24,18,54,50,800,50,2,17,8,3,539,-262,292,544,
2025,2,24,18,54,51,810,50,2,20,8,3,539,200,1634,1028,
2025,2,24,18,54,52,820,50,2,22,8,3,539,136,255,525,
2025,2,24,18,54,53,830,50,2,25,8,3,539,-99,383,448,
2025,2,24,18,54,54,840,50,2,28,8,3,539,-63,1888,1231,
2025,2,24,18,54,55,840,50,2,30,8,3,539,95,267,427,
2025,2,24,18,54,56,860,25,2,33,8,3,539,-71,430,601,
2025,2,24,18,54,57,900,25,2,36,8,3,539,-43,1392,1127,
2025,2,24,18,54,58,930,0,2,38,8,3,539,-46,240,488,
2025,2,24,18,54,59,940,0,2,41,8,3,539,-209,380,584,
2025,2,24,18,55,0,950,0,2,44,8,3,539,-81,1233,860,
2025,2,24,18,55,1,960,0,2,46,8,3,539,113,286,676,
2025,2,24,18,55,2,970,0,2,49,8,3,539,-109,623,701,
2025,2,24,18,55,3,980,0,2,52,8,3,539,-277,772,753,
2025,2,24,18,55,4,990,0,2,54,8,3,539,-46,310,458,
2025,2,24,18,55,5,1000,0,2,57,8,3,539,-157,851,1161,
2025,2,24,18,55,6,1010,0,2,59,8,3,539,-336,685,704,
2025,2,24,18,55,7,1010,0,2,62,8,3,539,39,701,646,
2025,2,24,18,55,8,1020,0,2,65,8,3,539,117,1570,1159,
2025,2,24,18,55,9,1030,0,2,67,8,3,539,-185,462,543,
2025,2,24,18,55,10,1030,0,2,70,8,3,539,-63,466,565,
2025,2,24,18,55,11,1040,0,2,73,8,3,539,-275,1167,1046,
2025,2,24,18,55,12,1040,0,2,75,8,3,539,-256,236,400,
2025,2,24,18,55,13,1040,0,2,78,8,3,539,-140,638,854,
2025,2,24,18,55,14,1040,0,2,81,8,3,539,-15,1306,1074,
2025,2,24,18,55,15,1040,0,2,83,8,3,539,-325,202,288,
2025,2,24,18,55,16,1040,0,2,86,8,3,539,-329,822,749,
2025,2,24,18,55,17,1050,0,2,89,8,3,539,131,664,539,
2025,2,24,18,55,18,1060,0,2,91,8,3,539,-237,330,520,
2025,2,24,18,55,19,1070,0,2,94,8,3,539,-176,1271,894,
2025,2,24,18,55,20,1080,0,2,97,8,3,539,216,691,856,
2025,2,24,18,55,21,1100,0,2,99,8,3,539,-389,186,520,
2025,2,24,18,55,22,1100,0,2,102,8,3,539,-199,1519,886,
2025,2,24,18,55,23,1110,0,2,104,8,3,539,137,395,645,
2025,2,24,18,55,24,1120,0,2,107,8,3,539,-221,506,538,
2025,2,24,18,55,25,1120,0,2,110,8,3,539,-42,1251,842,
2025,2,24,18,55,26,1130,0,2,112,8,3,539,122,512,616,
2025,2,24,18,55,27,1140,0,2,115,8,3,539,-154,500,587,
2025,2,24,18,55,28,1150,0,2,118,8,3,539,-55,1544,929,
2025,2,24,18,55,29,1160,0,2,120,8,3,539,174,291,711,
2025,2,24,18,55,30,1170,0,2,123,8,3,539,-255,311,537,
2025,2,24,18,55,31,1180,0,2,126,8,3,539,-310,1245,1003,
2025,2,24,18,55,32,1190,0,2,128,8,3,539,138,392,529,
2025,2,24,18,55,33,1200,0,2,131,8,3,539,-67,463,641,
2025,2,24,18,55,34,1210,0,2,134,8,3,539,-29,1052,1116,
2025,2,24,18,55,35,1220,0,2,136,8,3,539,70,202,528,
2025,2,24,18,55,36,1230,0,2,139,8,3,539,-278,816,557,
2025,2,24,18,55,37,1240,0,2,142,8,3,539,-23,1563,1020,
2025,2,24,18,55,38,1250,0,2,144,8,3,539,397,30,241,
2025,2,24,18,55,39,1260,0,2,147,8,3,539,-82,581,599,
2025,2,24,18,55,40,1270,0,2,150,8,3,539,-248,1252,861,
2025,2,24,18,55,41,1280,0,2,152,8,3,539,377,160,433,
2025,2,24,18,55,42,1300,0,2,155,8,3,539,-63,770,742,
2025,2,24,18,55,43,1310,0,2,158,8,3,539,-263,953,392,
2025,2,24,18,55,44,1310,0,2,158,10,3,539,194,59,334,
2025,2,24,18,55,45,1320,0,2,161,10,3,539,170,1202,683,
2025,2,24,18,55,46,1330,0,2,164,10,3,539,-287,675,705,
2025,2,24,18,55,47,1330,0,2,166,10,3,539,60,465,301,
2025,2,24,18,55,48,1340,0,3,167,12,3,539,9,2241,1040,
2025,2,24,18,55,49,1340,0,3,167,14,3,539,-286,497,455,
2025,2,24,18,55,50,1340,0,2,168,16,3,539,34,732,534,
2025,2,24,18,55,51,1350,0,2,171,16,3,539,-83,1258,431,
2025,2,24,18,55,52,1350,0,2,173,16,3,539,-291,327,407,
2025,2,24,18,55,53,1360,0,2,176,16,3,539,-65,1397,338,
2025,2,24,18,55,54,1370,0,2,179,16,3,539,281,778,527,
2025,2,24,18,55,55,1380,0,2,181,16,3,539,-123,511,404,
2025,2,24,18,55,56,1390,0,2,184,16,3,539,-208,1965,420,
2025,2,24,18,55,57,1400,0,2,187,16,3,539,166,575,525,
2025,2,24,18,55,58,1410,0,2,189,16,3,539,-224,519,305,
2025,2,24,18,55,59,1410,0,2,192,16,3,539,-131,1842,457,
2025,2,24,18,56,0,1420,0,2,194,16,3,539,292,150,427,
2025,2,24,18,56,1,1430,0,2,197,16,3,539,-353,746,366,
2025,2,24,18,56,2,1440,0,2,200,16,3,539,-219,1097,650,
2025,2,24,18,56,3,1440,0,2,202,16,3,539,-33,603,158,
2025,2,24,18,56,4,1450,0,2,205,16,3,539,214,1496,721,
2025,2,24,18,56,5,1450,0,2,208,16,3,539,-266,207,149,
2025,2,24,18,56,6,1460,0,2,210,16,3,539,-90,567,470,
2025,2,24,18,56,7,1470,0,2,213,16,3,539,-253,1541,585,
2025,2,24,18,56,8,1480,0,2,215,16,3,539,-316,321,200,
2025,2,24,18,56,9,1490,0,2,218,16,3,539,-183,845,427,
2025,2,24,18,56,10,1500,0,2,221,16,3,539,196,816,668,
2025,2,24,18,56,11,1520,0,2,223,16,3,539,-230,182,383,
2025,2,24,18,56,12,1530,0,2,226,16,3,539,-93,1829,538,
2025,2,24,18,56,13,1530,0,2,229,16,3,539,127,883,713,
2025,2,24,18,56,14,1540,0,2,231,16,3,539,-242,428,366,
2025,2,24,18,56,15,1550,0,2,234,16,3,539,-193,1928,605,
2025,2,24,18,56,16,1560,0,2,237,16,3,539,196,393,537,
2025,2,24,18,56,17,1570,0,2,239,16,3,539,-151,631,188,
2025,2,24,18,56,18,1570,0,2,242,16,3,539,-294,1626,904,
2025,2,24,18,56,19,1580,0,2,245,16,3,539,40,262,489,
2025,2,24,18,56,20,1570,0,2,247,16,3,539,-379,420,250,
2025,2,24,18,56,21,1570,0,2,250,16,3,539,-196,1154,419,
2025,2,24,18,56,22,1560,0,2,252,16,3,539,-13,231,381,
2025,2,24,18,56,23,1560,0,2,255,16,3,539,-6,1521,809,
2025,2,24,18,56,24,1550,0,2,258,16,3,539,-356,399,417,
2025,2,24,18,56,25,1550,0,2,260,16,3,539,-143,368,366,
2025,2,24,18,56,26,1550,0,2,263,16,3,539,-343,1507,713,
2025,2,24,18,56,27,1560,0,2,266,16,3,539,-341,225,363,
2025,2,24,18,56,28,1560,0,2,268,16,3,539,-239,1083,737,
2025,2,24,18,56,29,1550,0,2,271,16,3,539,88,1015,533,
2025,2,24,18,56,30,1550,0,2,273,16,3,539,-283,130,465,
2025,2,24,18,56,31,1550,0,2,276,16,3,539,-115,1545,556,
2025,2,24,18,56,32,1550,25,2,279,16,3,539,406,1140,954,
2025,2,24,18,56,33,1550,25,2,281,16,3,539,-250,333,137,
2025,2,24,18,56,34,1560,25,2,284,16,3,539,-136,1756,674,
2025,2,24,18,56,35,1560,25,2,287,16,3,539,264,486,645,
2025,2,24,18,56,36,1560,25,2,289,16,3,539,-137,430,496,
2025,2,24,18,56,37,1560,25,2,292,16,3,539,-156,1574,730,
2025,2,24,18,56,38,1570,25,2,295,16,3,539,173,391,433,
2025,2,24,18,56,39,1570,25,2,297,16,3,539,-199,752,514,
2025,2,24,18,56,40,1570,25,2,300,16,3,539,-235,1006,685,
2025,2,24,18,56,41,1570,25,2,302,16,3,539,52,224,510,
2025,2,24,18,56,42,1570,25,2,305,16,3,539,133,1285,1081,
2025,2,24,18,56,43,1570,25,2,308,16,3,539,-245,701,560,
2025,2,24,18,56,44,1570,50,2,310,16,3,539,-162,433,356,
2025,2,24,18,56,45,1570,50,2,313,16,3,539,-297,1575,1086,
2025,2,24,18,56,46,1580,50,2,316,16,3,539,-272,398,355,
2025,2,24,18,56,47,1580,50,2,318,16,3,539,-210,700,447,
2025,2,24,18,56,48,1580,50,2,321,16,3,539,-375,1165,940,
2025,2,24,18,56,49,1580,50,2,323,16,3,539,-140,331,389,
2025,2,24,18,56,50,1580,50,2,326,16,3,539,-136,522,436,
2025,2,24,18,56,51,1580,75,2,329,16,3,539,-436,1342,794,
2025,2,24,18,56,52,1580,75,2,332,16,3,539,-303,375,441,
2025,2,24,18,56,53,1580,75,2,334,16,3,539,-77,642,500,
2025,2,24,18,56,54,1580,75,2,337,16,3,539,107,1212,676,
2025,2,24,18,56,55,1580,75,2,340,16,3,539,-209,477,369,
2025,2,24,18,56,56,1590,75,2,342,16,3,539,-267,716,492,
2025,2,24,18,56,57,1590,75,2,345,16,3,539,-132,976,599,
2025,2,24,18,56,58,1590,75,2,347,16,3,539,-225,252,240,
2025,2,24,18,56,58,1590,75,2,350,16,3,539,-225,252,240,
2025,2,24,18,56,59,1590,75,2,353,16,3,539,137,843,623,
2025,2,24,18,57,0,1590,75,2,355,16,3,539,-319,330,521,
2025,2,24,18,57,1,1600,75,2,358,16,3,539,-105,1572,580,
2025,2,24,18,57,2,1600,75,2,361,16,3,539,-136,905,464,
2025,2,24,18,57,3,1600,100,2,363,16,3,539,19,981,530,
2025,2,24,18,57,4,1590,100,2,366,16,3,539,78,1146,593,
2025,2,24,18,57,5,1590,100,2,368,16,3,539,115,743,483,
2025,2,24,18,57,6,1590,100,2,371,16,3,539,176,975,489,
2025,2,24,18,57,7,1580,100,2,374,16,3,539,377,914,348,
2025,2,24,18,57,8,1580,100,2,377,16,3,539,253,914,437,
2025,2,24,18,57,9,1580,100,2,380,16,3,539,338,837,441,
2025,2,24,18,57,10,1580,100,2,383,16,3,539,232,901,457,
2025,2,24,18,57,11,1590,100,1,384,16,3,539,229,824,488,
2025,2,24,18,57,12,1600,25,0,384,16,3,539,431,849,445,
2025,2,24,18,57,13,1600,25,0,384,16,3,539,426,756,451,
2025,2,24,18,57,14,1610,25,0,384,16,3,539,424,867,321,
2025,2,24,18,57,15,1620,25,0,384,16,3,539,303,792,538,
2025,2,24,18,57,16,1630,25,0,384,16,3,539,353,769,582,
2025,2,24,18,57,17,1640,25,0,384,16,3,539,430,902,361,
2025,2,24,18,57,18,1640,25,0,384,16,3,539,496,783,464,
2025,2,24,18,57,19,1650,25,0,384,16,3,541,499,783,422,
2025,2,24,18,57,20,1660,25,0,384,16,3,542,494,759,461,
2025,2,24,18,57,21,1670,50,0,384,16,3,542,555,747,454,
2025,2,24,18,57,22,1670,75,0,384,16,3,542,501,840,355,
2025,2,24,18,57,23,1680,50,0,384,16,3,542,511,810,436,
2025,2,24,18,57,24,1670,50,0,384,16,3,542,520,737,421,
2025,2,24,18,57,25,1670,50,0,384,16,3,540,510,715,437,
2025,2,24,18,57,26,1690,50,0,384,16,3,539,513,731,459,
2025,2,24,18,57,27,1670,50,0,384,16,3,535,526,734,462,
2025,2,24,18,57,28,1650,50,0,384,16,3,533,503,751,454,
2025,2,24,18,57,29,1630,75,0,384,16,3,533,522,799,438,
2025,2,24,18,57,30,1620,0,0,384,16,3,533,498,763,417,
2025,2,24,18,57,31,1620,0,0,384,16,3,533,499,770,425,
2025,2,24,18,57,32,1610,75,0,384,16,3,533,501,761,423,
2025,2,24,18,57,33,1600,0,0,384,16,3,533,515,779,375,
2025,2,24,18,57,34,1600,75,0,384,16,3,533,497,768,434,
2025,2,24,18,57,35,1590,100,0,384,16,3,533,595,670,486,
2025,2,24,18,57,36,1580,100,0,384,16,3,534,480,728,467,
