year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,24,18,17,5,850,50,0,0,0,3,0,-913,-214,310,
2025,2,24,18,17,6,890,50,0,0,0,3,0,-916,-215,314,
2025,2,24,18,17,7,940,50,0,0,0,3,0,-920,-210,317,
2025,2,24,18,17,8,960,100,0,0,0,3,0,-923,-211,311,
2025,2,24,18,17,9,990,100,0,0,0,3,0,-909,-227,302,
2025,2,24,18,17,10,1030,100,0,0,0,3,0,-915,-213,312,
2025,2,24,18,17,11,1030,100,0,0,0,3,0,-923,-206,298,
2025,2,24,18,17,12,1020,100,0,0,0,3,0,-916,-215,312,
2025,2,24,18,17,13,1010,100,0,0,0,3,0,-915,-219,307,
2025,2,24,18,17,14,990,100,0,0,0,3,0,-873,-295,338,
2025,2,24,18,17,15,970,100,0,0,0,3,0,-878,-360,294,
2025,2,24,18,17,16,970,100,0,0,0,3,584,-887,-342,276,
2025,2,24,18,17,17,970,25,0,0,0,3,584,-890,-318,296,
2025,2,24,18,17,18,960,50,0,0,0,3,584,-901,-227,272,
2025,2,24,18,17,19,960,100,0,0,0,3,584,-897,-293,307,
2025,2,24,18,17,20,950,100,0,0,0,3,584,-912,-260,306,
2025,2,24,18,17,21,940,100,0,0,0,3,584,-906,-272,295,
2025,2,24,18,17,22,930,100,0,0,0,3,584,-906,-272,293,
2025,2,24,18,17,23,910,100,0,0,0,3,584,-913,-264,289,
2025,2,24,18,17,24,890,100,0,0,0,3,584,-914,-256,280,
2025,2,24,18,17,25,870,100,0,0,0,3,584,-915,-267,288,
2025,2,24,18,17,26,860,100,0,0,0,3,584,-912,-262,286,
2025,2,24,18,17,27,850,100,0,0,0,3,584,-911,-257,285,
2025,2,24,18,17,28,830,100,0,0,0,3,584,-909,-265,289,
2025,2,24,18,17,29,820,100,0,0,0,3,584,-909,-265,296,
2025,2,24,18,17,30,810,100,0,0,0,3,584,-158,-514,447,
2025,2,24,18,17,31,800,50,0,0,0,3,584,-341,-730,716,
2025,2,24,18,17,32,800,50,0,0,0,3,584,-652,-550,510,
2025,2,24,18,17,33,790,50,0,0,0,3,584,-801,-448,423,
2025,2,24,18,17,34,780,50,0,0,0,3,584,-759,-460,408,
2025,2,24,18,17,35,770,50,0,0,0,3,584,-915,-130,393,
2025,2,24,18,17,36,770,50,0,0,0,3,584,-866,-239,418,
2025,2,24,18,17,37,770,50,0,0,0,3,584,-856,-220,447,
2025,2,24,18,17,38,770,50,0,0,0,3,584,-874,-208,432,
2025,2,24,18,17,39,770,50,0,0,0,3,584,-873,-198,430,
2025,2,24,18,17,40,770,50,0,0,0,3,584,-873,-190,424,
2025,2,24,18,17,41,770,75,0,0,0,3,584,-875,-190,428,
2025,2,24,18,17,42,760,100,0,0,0,3,584,-877,-190,423,
2025,2,24,18,17,43,760,100,0,0,0,3,584,-864,-185,437,
2025,2,24,18,17,44,750,100,0,0,0,3,584,-969,-146,428,
2025,2,24,18,17,45,740,25,0,0,0,3,584,-890,-342,355,
2025,2,24,18,17,46,730,25,0,0,0,3,584,-865,-343,341,
2025,2,24,18,17,47,720,50,0,0,0,3,584,-868,-337,369,
