year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,25,11,14,16,560,0,0,0,0,3,0,-335,-610,714,
2025,2,25,11,14,17,540,0,0,0,0,3,0,-352,-549,732,
2025,2,25,11,14,18,570,0,0,0,0,3,0,-403,-528,720,
2025,2,25,11,14,19,600,0,0,0,0,3,0,-508,-508,750,
2025,2,25,11,14,20,610,0,0,0,0,3,0,-508,-424,654,
2025,2,25,11,14,21,620,0,0,0,0,3,0,-553,-312,762,
2025,2,25,11,14,22,630,0,0,0,0,3,0,-624,-262,721,
2025,2,25,11,14,23,650,0,0,0,0,3,0,-626,-268,731,
2025,2,25,11,14,24,650,50,0,0,0,3,0,-600,-313,738,
2025,2,25,11,14,25,650,50,0,0,0,3,0,-636,-274,702,
2025,2,25,11,14,26,650,50,0,0,0,3,0,-644,-265,697,
2025,2,25,11,14,27,670,75,0,0,0,3,0,-640,-283,696,
2025,2,25,11,14,28,680,50,0,0,0,3,0,-691,-282,663,
2025,2,25,11,14,29,690,50,0,0,0,3,0,-708,-264,650,
2025,2,25,11,14,30,690,100,0,0,0,3,550,-687,-247,663,
2025,2,25,11,14,31,680,100,0,0,0,3,551,-697,-224,657,
2025,2,25,11,14,32,690,50,0,0,0,3,552,-703,-241,651,
2025,2,25,11,14,33,700,100,0,0,0,3,552,-650,-228,699,
2025,2,25,11,14,34,710,50,0,0,0,3,552,-691,-247,663,
2025,2,25,11,14,35,720,50,0,0,0,3,554,-764,-218,632,
2025,2,25,11,14,36,720,75,0,0,0,3,560,-710,-194,676,
2025,2,25,11,14,37,720,75,0,0,0,3,560,-669,-31,713,
2025,2,25,11,14,38,710,75,0,0,0,3,560,-738,-78,625,
2025,2,25,11,14,39,710,75,0,0,0,3,560,-854,-272,617,
2025,2,25,11,14,40,710,75,0,0,0,3,560,-851,-156,447,
2025,2,25,11,14,41,710,50,0,0,0,3,560,-876,-173,410,
2025,2,25,11,14,42,710,75,0,0,0,3,560,-930,-213,386,
2025,2,25,11,14,43,700,75,0,0,0,3,560,-1018,-217,471,
2025,2,25,11,14,44,700,75,0,0,0,3,560,-580,-284,713,
2025,2,25,11,14,45,710,75,0,0,0,3,560,-662,-66,738,
2025,2,25,11,14,46,710,50,1,0,0,3,560,-634,-285,689,
2025,2,25,11,14,47,720,50,1,0,0,3,560,-612,-348,889,
2025,2,25,11,14,48,740,50,1,0,0,3,560,-506,-81,723,
2025,2,25,11,14,49,750,25,1,0,0,3,560,-683,-256,740,
2025,2,25,11,14,50,760,25,1,0,0,3,560,-744,-327,630,
2025,2,25,11,14,51,770,25,1,0,0,3,560,-538,-138,810,
2025,2,25,11,14,52,780,25,1,0,0,3,560,-512,-40,637,
2025,2,25,11,14,53,790,25,2,1,0,3,560,-342,-259,532,
2025,2,25,11,14,54,800,25,2,3,0,3,560,15,-222,441,
2025,2,25,11,14,55,810,25,2,5,0,3,560,-490,-1407,1275,
2025,2,25,11,14,56,820,25,2,6,0,3,560,-358,77,164,
2025,2,25,11,14,57,840,25,1,7,0,3,560,-265,-1428,1388,
2025,2,25,11,14,58,860,25,3,7,1,3,560,78,-232,423,
2025,2,25,11,14,59,870,25,3,7,3,3,560,-291,-1673,1279,
2025,2,25,11,15,0,880,25,3,7,6,3,560,-273,131,40,
2025,2,25,11,15,1,880,0,3,7,8,3,560,-371,-1395,1661,
2025,2,25,11,15,2,880,0,3,7,11,3,560,105,-101,483,
2025,2,25,11,15,3,880,0,3,7,13,3,560,-302,-1561,1445,
2025,2,25,11,15,4,900,0,3,7,16,3,560,-107,-66,312,
2025,2,25,11,15,5,910,0,3,7,18,3,560,-453,-787,1312,
2025,2,25,11,15,6,920,0,3,7,20,3,560,112,-186,591,
2025,2,25,11,15,7,920,0,3,7,23,3,560,-90,-920,925,
2025,2,25,11,15,8,940,0,3,7,25,3,560,48,-325,609,
2025,2,25,11,15,9,980,0,3,7,28,3,560,-138,-598,1057,
2025,2,25,11,15,9,1000,0,3,7,30,3,560,142,-207,538,
2025,2,25,11,15,10,1030,0,3,7,33,3,560,63,-249,684,
