Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5,PPG6
2025-02-25 09:52:57.252,39,48,45,20,89,82
2025-02-25 09:52:58.235,28,42,43,15,100,81
2025-02-25 09:52:59.291,31,42,51,13,83,70
2025-02-25 09:52:59.301,26,35,40,10,75,75
2025-02-25 09:52:59.334,27,32,37,4,71,71
2025-02-25 09:52:59.491,15,37,33,1,75,73
2025-02-25 09:52:59.493,6,22,34,1,67,74
2025-02-25 09:52:59.495,41,15,28,1,69,66
2025-02-25 09:52:59.497,0,45,17,0,69,59
2025-02-25 09:52:59.498,51,4,45,0,66,57
2025-02-25 09:52:59.500,57,45,4,16,57,56
2025-02-25 09:52:59.502,59,69,29,10,34,46
2025-02-25 09:52:59.503,54,67,67,4,60,33
2025-02-25 09:52:59.505,53,71,64,29,20,56
2025-02-25 09:52:59.506,46,59,66,33,89,6
2025-02-25 09:52:59.508,28,56,61,35,100,70
2025-02-25 09:52:59.512,43,62,62,29,105,90
2025-02-25 09:52:59.518,52,62,48,22,98,95
2025-02-25 09:52:59.520,38,66,67,16,92,91
2025-02-25 09:52:59.522,57,55,58,13,94,82
2025-02-25 09:52:59.523,34,52,56,25,99,82
2025-02-25 09:52:59.525,39,51,53,21,91,71
2025-02-25 09:52:59.527,33,46,60,17,88,73
2025-02-25 09:52:59.529,34,49,47,12,89,78
2025-02-25 09:52:59.531,26,43,47,10,87,82
2025-02-25 09:52:59.612,25,39,41,11,88,75
2025-02-25 09:52:59.614,30,31,36,11,79,70
2025-02-25 09:52:59.616,21,38,36,5,80,70
2025-02-25 09:52:59.618,7,28,35,1,73,66
2025-02-25 09:52:59.619,34,24,32,2,74,62
2025-02-25 09:52:59.622,4,22,22,1,68,54
2025-02-25 09:52:59.623,17,34,13,0,68,54
2025-02-25 09:52:59.625,59,10,44,0,63,58
2025-02-25 09:52:59.627,56,62,4,26,47,50
2025-02-25 09:52:59.629,62,66,53,2,61,43
2025-02-25 09:52:59.631,58,74,69,9,30,30
2025-02-25 09:52:59.633,44,66,74,32,36,51
2025-02-25 09:52:59.634,45,55,68,27,96,17
2025-02-25 09:52:59.636,48,58,57,33,101,83
2025-02-25 09:52:59.638,49,53,60,17,103,89
2025-02-25 09:52:59.640,50,50,57,18,92,99
2025-02-25 09:52:59.644,44,71,59,17,92,84
2025-02-25 09:52:59.757,42,66,65,23,81,81
2025-02-25 09:52:59.797,39,64,47,26,82,78
2025-02-25 09:52:59.904,35,45,56,10,95,77
2025-02-25 09:53:00.062,33,39,46,19,93,80
2025-02-25 09:53:00.086,27,50,43,11,88,87
2025-02-25 09:53:00.209,28,41,52,12,87,68
2025-02-25 09:53:00.383,25,34,38,10,77,69
2025-02-25 09:53:00.385,20,32,37,5,78,66
2025-02-25 09:53:00.512,18,38,30,3,75,64
2025-02-25 09:53:00.651,6,25,34,1,70,75
2025-02-25 09:53:00.674,38,14,30,2,68,61
2025-02-25 09:53:00.798,0,46,16,0,70,60
2025-02-25 09:53:00.941,40,4,39,0,62,56
2025-02-25 09:53:00.977,61,32,15,1,55,55
2025-02-25 09:53:01.065,58,67,24,9,41,47
2025-02-25 09:53:01.225,61,105,71,2,83,62
2025-02-25 09:53:01.269,1158,1194,462,24,3497,2055
2025-02-25 09:53:01.369,8058,18792,6412,27,68698,39221
2025-02-25 09:53:01.528,12770,29563,12764,35,111915,63371
2025-02-25 09:53:01.570,52418,76599,40617,20,268384,150292
