year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,27,18,35,28,780,75,0,0,0,3,0,-468,-551,677,
2025,2,27,18,35,29,780,100,0,0,0,3,0,-465,-540,682,
2025,2,27,18,35,30,800,100,0,0,0,3,0,-476,-544,687,
2025,2,27,18,35,31,800,100,0,0,0,3,0,-492,-524,687,
2025,2,27,18,35,32,790,100,0,0,0,3,0,-504,-511,677,
2025,2,27,18,35,33,800,100,0,0,0,3,0,-504,-520,670,
2025,2,27,18,35,34,810,100,0,0,0,3,526,-506,-518,676,
2025,2,27,18,35,35,820,100,0,0,0,3,531,-542,-487,679,
2025,2,27,18,35,36,840,100,0,0,0,3,533,-549,-488,663,
2025,2,27,18,35,37,850,100,0,0,0,3,534,-562,-437,676,
2025,2,27,18,35,38,860,100,0,0,0,3,538,-619,-391,645,
2025,2,27,18,35,39,860,100,0,0,0,3,538,-515,-528,500,
2025,2,27,18,35,40,860,75,0,0,0,3,538,-901,-300,288,
2025,2,27,18,35,41,860,75,0,0,0,3,538,-858,-403,295,
2025,2,27,18,35,42,850,75,0,0,0,3,538,-767,-415,431,
2025,2,27,18,35,43,840,75,0,0,0,3,538,-828,-354,409,
2025,2,27,18,35,44,830,75,0,0,0,3,538,-816,-344,403,
2025,2,27,18,35,45,820,75,0,0,0,3,538,-931,-337,224,
2025,2,27,18,35,46,810,75,0,0,0,3,538,-919,-313,234,
2025,2,27,18,35,47,810,75,0,0,0,3,538,-912,-318,208,
2025,2,27,18,35,48,800,75,0,0,0,3,538,-952,-266,190,
2025,2,27,18,35,49,800,75,0,0,0,3,538,-944,-298,203,
2025,2,27,18,35,50,800,75,0,0,0,3,538,-907,-362,227,
2025,2,27,18,35,51,800,75,0,0,0,3,538,-917,-328,210,
2025,2,27,18,35,52,800,75,0,0,0,3,538,-916,-331,232,
2025,2,27,18,35,53,800,75,0,0,0,3,548,-920,-319,203,
2025,2,27,18,35,54,810,75,0,0,0,3,555,-921,-303,215,
2025,2,27,18,35,55,820,75,0,0,0,3,560,-924,-310,210,
2025,2,27,18,35,56,830,75,0,0,0,3,564,-929,-335,191,
2025,2,27,18,35,57,820,75,0,0,0,3,567,-908,-332,183,
2025,2,27,18,35,58,820,75,0,0,0,3,568,-935,-287,203,
2025,2,27,18,35,59,820,75,0,0,0,3,570,-933,-290,200,
2025,2,27,18,36,0,820,75,0,0,0,3,571,-942,-287,203,
2025,2,27,18,36,1,820,75,0,0,0,3,572,-895,-416,256,
2025,2,27,18,36,2,820,75,0,0,0,3,572,-971,-281,287,
2025,2,27,18,36,3,840,75,0,0,0,3,572,-926,-330,185,
2025,2,27,18,36,4,850,75,0,0,0,3,572,-928,-324,158,
2025,2,27,18,36,5,850,75,0,0,0,3,572,-938,-316,136,
2025,2,27,18,36,6,860,75,0,0,0,3,572,-933,-326,157,
2025,2,27,18,36,7,860,75,0,0,0,3,572,-942,-322,177,
