Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5,PPG6
2025-02-27 19:02:59.253,44045,14632,10735,9,100106,198754
2025-02-27 19:02:59.442,44052,14622,10745,0,100101,198751
2025-02-27 19:02:59.446,44043,14633,10743,4,100096,198719
2025-02-27 19:02:59.448,44047,14636,10745,1,100079,198756
2025-02-27 19:02:59.451,44036,14635,10743,0,100083,198721
2025-02-27 19:02:59.453,44034,14645,10745,0,100059,198712
2025-02-27 19:02:59.456,44035,14640,10745,5,100025,198696
2025-02-27 19:02:59.458,44037,14647,10744,9,100030,198714
2025-02-27 19:02:59.461,44039,14655,10744,3,100003,198683
2025-02-27 19:02:59.463,44057,14659,10760,0,100029,198690
2025-02-27 19:02:59.465,44081,14649,10747,4,100011,198690
2025-02-27 19:02:59.466,44106,14657,10753,5,100007,198662
2025-02-27 19:02:59.468,44112,14650,10754,6,100035,198711
2025-02-27 19:02:59.470,44143,14663,10757,3,100042,198717
2025-02-27 19:02:59.471,44158,14659,10758,0,100082,198778
2025-02-27 19:02:59.473,44173,14666,10769,14,100100,198821
2025-02-27 19:02:59.475,44173,14673,10771,3,100109,198882
2025-02-27 19:02:59.478,44171,14675,10780,7,100115,198869
2025-02-27 19:02:59.480,44179,14673,10771,3,100077,198875
2025-02-27 19:02:59.482,44164,14681,10776,0,100055,198879
2025-02-27 19:02:59.483,44168,14687,10772,5,100023,198835
2025-02-27 19:02:59.486,44162,14683,10776,4,100015,198797
2025-02-27 19:02:59.488,44151,14674,10771,6,99984,198773
2025-02-27 19:02:59.489,44160,14674,10773,6,99960,198747
2025-02-27 19:02:59.919,44152,14662,10779,6,99941,198688
2025-02-27 19:02:59.921,44167,14675,10777,2,99919,198684
2025-02-27 19:02:59.923,44149,14669,10775,0,99887,198674
2025-02-27 19:02:59.925,44168,14668,10780,0,99878,198637
2025-02-27 19:02:59.927,44161,14656,10768,3,99861,198601
2025-02-27 19:02:59.929,44154,14655,10777,5,99831,198576
2025-02-27 19:02:59.930,44187,14656,10779,7,99791,198534
2025-02-27 19:02:59.932,44179,14652,10789,1,99785,198474
2025-02-27 19:02:59.933,44179,14640,10771,11,99730,198458
2025-02-27 19:02:59.935,44198,14650,10774,3,99736,198417
2025-02-27 19:02:59.938,44202,14626,10775,13,99712,198389
2025-02-27 19:02:59.940,44218,14630,10773,1,99688,198389
2025-02-27 19:02:59.941,44233,14631,10774,0,99686,198360
2025-02-27 19:02:59.943,44246,14621,10765,5,99687,198335
2025-02-27 19:02:59.945,44245,14615,10756,0,99663,198303
2025-02-27 19:02:59.947,44264,14616,10769,4,99646,198280
2025-02-27 19:02:59.948,44275,14607,10721,1,99615,198267
