Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5,PPG6
2025-02-27 17:21:26.816,173121,120610,70061,4,478007,426297
2025-02-27 17:21:29.464,173133,120605,70072,5,478038,426337
2025-02-27 17:21:30.425,173133,120605,70072,5,478038,426337
2025-02-27 17:21:30.444,173185,120586,70039,1,478087,426399
2025-02-27 17:21:30.460,173158,120520,69987,4,478017,426318
2025-02-27 17:21:30.584,173161,120461,69927,2,477949,426273
2025-02-27 17:21:30.586,173168,120399,69870,6,477865,426210
2025-02-27 17:21:30.588,173199,120361,69842,5,477828,426201
2025-02-27 17:21:30.589,173216,120330,69824,2,477819,426275
2025-02-27 17:21:30.591,173239,120302,69806,4,477751,426285
2025-02-27 17:21:30.593,173261,120277,69792,2,477768,426220
2025-02-27 17:21:30.594,173265,120255,69786,2,477670,426217
2025-02-27 17:21:30.596,173283,120240,69775,3,477632,426225
2025-02-27 17:21:30.598,173277,120209,69759,3,477604,426116
2025-02-27 17:21:30.600,173273,120196,69757,3,477584,426053
2025-02-27 17:21:30.601,173262,120168,69748,5,477497,425996
2025-02-27 17:21:30.603,173237,120150,69737,2,477467,425986
2025-02-27 17:21:30.605,173236,120116,69723,3,477385,425952
2025-02-27 17:21:30.607,173224,120115,69724,3,477349,425839
2025-02-27 17:21:30.608,173216,120076,69698,2,477336,425836
2025-02-27 17:21:30.610,173212,120051,69683,3,477323,425812
2025-02-27 17:21:30.612,173209,120035,69668,1,477240,425745
2025-02-27 17:21:30.614,173206,120010,69656,3,477246,425799
2025-02-27 17:21:30.616,173232,120002,69659,3,477160,425749
2025-02-27 17:21:30.618,173243,120023,69682,4,477139,425776
2025-02-27 17:21:30.620,173269,120051,69688,5,477242,425796
2025-02-27 17:21:30.622,173302,120048,69696,6,477304,425881
2025-02-27 17:21:30.623,173322,120063,69714,0,477343,425934
2025-02-27 17:21:30.625,173370,120093,69728,5,477466,426007
2025-02-27 17:21:30.627,173406,120108,69741,5,477509,426100
2025-02-27 17:21:30.698,173455,120152,69756,5,477586,426209
2025-02-27 17:21:30.700,173504,120162,69782,3,477709,426330
2025-02-27 17:21:30.701,173547,120208,69793,3,477814,426468
2025-02-27 17:21:30.703,173571,120208,69798,4,477959,426550
2025-02-27 17:21:30.705,173603,120201,69799,4,477991,426627
2025-02-27 17:21:30.706,173620,120194,69789,1,478019,426645
2025-02-27 17:21:30.708,173622,120190,69788,7,478036,426637
2025-02-27 17:21:30.709,173664,120191,69788,7,478060,426686
2025-02-27 17:21:30.711,173684,120207,69800,5,478074,426744
2025-02-27 17:21:30.713,173699,120225,69808,3,478162,426803
2025-02-27 17:21:30.715,173725,120228,69817,2,478200,426840
2025-02-27 17:21:30.717,173743,120237,69833,3,478197,426887
2025-02-27 17:21:30.718,173761,120276,69852,2,478269,426924
2025-02-27 17:21:30.720,173784,120268,69866,4,478358,427004
2025-02-27 17:21:30.721,173812,120253,69864,4,478355,427027
2025-02-27 17:21:30.723,173795,120253,69844,4,478361,427031
2025-02-27 17:21:30.725,173804,120238,69842,4,478355,427023
2025-02-27 17:21:30.727,173813,120222,69833,3,478352,427014
2025-02-27 17:21:30.728,173837,120210,69829,3,478338,426961
2025-02-27 17:21:30.730,173823,120206,69835,6,478242,426970
2025-02-27 17:21:30.732,173840,120203,69838,3,478278,427000
2025-02-27 17:21:30.734,173843,120211,69840,0,478348,427011
2025-02-27 17:21:30.736,173860,120197,69848,3,478324,427029
2025-02-27 17:21:30.738,173873,120216,69839,4,478333,427073
2025-02-27 17:21:30.740,173878,120194,69839,5,478355,427096
2025-02-27 17:21:30.742,173872,120167,69812,5,478262,427042
2025-02-27 17:21:30.834,173878,120170,69810,3,478212,426990
2025-02-27 17:21:30.836,173892,120153,69803,3,478263,427011
2025-02-27 17:21:30.838,173914,120146,69795,7,478200,427006
2025-02-27 17:21:30.840,173916,120151,69805,4,478095,426964
2025-02-27 17:21:30.842,173956,120165,69818,3,478179,427018
2025-02-27 17:21:30.844,174004,120207,69859,6,478224,427119
2025-02-27 17:21:30.846,174054,120255,69887,6,478321,427187
2025-02-27 17:21:30.848,174079,120270,69905,2,478392,427292
2025-02-27 17:21:30.850,174090,120292,69905,2,478492,427300
2025-02-27 17:21:30.851,174068,120243,69888,3,478453,427300
2025-02-27 17:21:30.853,174010,120190,69835,1,478339,427197
2025-02-27 17:21:30.855,173931,120122,69782,3,478184,427058
2025-02-27 17:21:30.857,173787,120003,69714,3,478083,426893
2025-02-27 17:21:30.859,173591,119856,69639,2,477806,426614
2025-02-27 17:21:30.861,173388,119734,69570,7,477544,426215
2025-02-27 17:21:30.863,173182,119612,69512,1,477248,425867
2025-02-27 17:21:30.865,173052,119525,69463,4,477050,425678
2025-02-27 17:21:30.868,172911,119403,69398,3,476861,425447
2025-02-27 17:21:30.870,172805,119302,69342,6,476735,425277
2025-02-27 17:21:30.872,172726,119214,69267,5,476600,425089
2025-02-27 17:21:30.874,172666,119093,69184,3,476504,424930
2025-02-27 17:21:30.876,172619,118984,69101,6,476315,424760
2025-02-27 17:21:30.878,172565,118890,69024,5,476198,424595
2025-02-27 17:21:30.946,172550,118813,68947,2,476080,424477
2025-02-27 17:21:30.948,172544,118724,68879,5,475987,424404
2025-02-27 17:21:30.950,172525,118656,68811,5,475935,424294
2025-02-27 17:21:30.952,172503,118569,68741,3,475858,424273
2025-02-27 17:21:30.954,172503,118569,68741,3,475858,424273
2025-02-27 17:21:30.956,172431,118378,68576,4,475565,424042
2025-02-27 17:21:30.958,172397,118286,68498,5,475474,423910
2025-02-27 17:21:30.960,172369,118197,68420,5,475313,423801
2025-02-27 17:21:30.961,172344,118116,68375,4,475173,423635
2025-02-27 17:21:30.963,172355,118077,68350,4,475064,423619
2025-02-27 17:21:30.965,172357,118049,68334,4,475053,423585
2025-02-27 17:21:30.967,172397,118074,68346,6,475025,423575
2025-02-27 17:21:30.969,172448,118093,68359,8,475145,423736
2025-02-27 17:21:30.971,172480,118097,68350,1,475247,423835
2025-02-27 17:21:30.974,172508,118075,68329,4,475285,423946
2025-02-27 17:21:30.977,172508,118041,68290,6,475277,423966
2025-02-27 17:21:30.979,172503,117980,68242,3,475301,423926
2025-02-27 17:21:30.981,172491,117927,68188,6,475169,423804
2025-02-27 17:21:30.983,172465,117851,68144,2,475059,423749
2025-02-27 17:21:30.985,172450,117816,68116,2,474923,423633
2025-02-27 17:21:30.988,172434,117794,68110,4,474895,423575
2025-02-27 17:21:30.990,172444,117802,68127,6,474933,423613
2025-02-27 17:21:30.992,172456,117846,68163,4,474960,423610
2025-02-27 17:21:30.993,172478,117879,68181,5,475083,423812
2025-02-27 17:21:31.087,172512,117889,68187,5,475189,423880
2025-02-27 17:21:31.089,172503,117879,68186,4,475216,423914
2025-02-27 17:21:31.091,172512,117883,68202,2,475251,423915
2025-02-27 17:21:31.093,172524,117893,68200,4,475286,423898
2025-02-27 17:21:31.095,172548,117910,68224,3,475288,423931
2025-02-27 17:21:31.097,172581,117930,68244,0,475390,424026
2025-02-27 17:21:31.099,172613,117967,68265,1,475475,424170
2025-02-27 17:21:31.101,172634,117972,68264,2,475611,424248
2025-02-27 17:21:31.102,172650,117953,68245,5,475692,424390
2025-02-27 17:21:31.104,172654,117915,68223,5,475674,424375
2025-02-27 17:21:31.106,172672,117907,68223,2,475617,424384
2025-02-27 17:21:31.108,172696,117906,68224,3,475659,424488
2025-02-27 17:21:31.110,172737,117937,68234,4,475699,424452
2025-02-27 17:21:31.112,172796,117976,68273,3,475756,424527
2025-02-27 17:21:31.113,172838,118024,68308,5,475903,424688
2025-02-27 17:21:31.115,172901,118102,68356,3,476085,424882
2025-02-27 17:21:31.118,172953,118136,68391,5,476264,425032
2025-02-27 17:21:31.119,172984,118151,68400,6,476396,425174
2025-02-27 17:21:31.121,173010,118149,68389,6,476465,425212
2025-02-27 17:21:31.123,172992,118140,68388,2,476403,425204
