year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,27,17,47,4,600,0,1,0,0,2,0,-17,4,-1011,
2025,2,27,17,47,5,600,0,1,0,0,2,0,-20,3,-1006,
2025,2,27,17,47,6,600,0,0,0,0,2,0,-16,0,-1006,
2025,2,27,17,47,7,590,0,0,0,0,3,0,-20,4,-1005,
2025,2,27,17,47,8,590,0,0,0,0,3,0,-17,2,-1010,
2025,2,27,17,47,9,590,0,0,0,0,3,0,-21,3,-1005,
2025,2,27,17,47,10,640,0,0,0,0,3,0,-16,4,-1008,
2025,2,27,17,47,11,840,50,0,0,0,3,0,-14,7,-1004,
2025,2,27,17,47,12,830,50,0,0,0,3,0,-23,-4,-1009,
2025,2,27,17,47,13,830,50,0,0,0,3,0,-22,3,-1005,
2025,2,27,17,47,14,830,50,0,0,0,3,0,-18,1,-1007,
2025,2,27,17,47,15,800,50,0,0,0,3,0,-18,0,-1006,
2025,2,27,17,47,16,780,50,0,0,0,3,0,-15,3,-1009,
2025,2,27,17,47,17,810,100,0,0,0,3,0,-18,2,-1005,
2025,2,27,17,47,18,850,100,0,0,0,3,0,-18,0,-1008,
2025,2,27,17,47,19,850,100,0,0,0,3,0,-16,2,-1006,
2025,2,27,17,47,20,840,100,0,0,0,3,0,-22,2,-1006,
2025,2,27,17,47,21,840,100,0,0,0,3,0,-22,4,-1006,
2025,2,27,17,47,22,830,100,0,0,0,3,0,-17,1,-1006,
2025,2,27,17,47,23,810,100,0,0,0,3,0,-20,0,-1011,
2025,2,27,17,47,24,800,100,0,0,0,3,0,-20,3,-1009,
2025,2,27,17,47,25,800,100,0,0,0,3,584,-16,0,-1006,
2025,2,27,17,47,26,790,100,0,0,0,3,584,-17,2,-1009,
2025,2,27,17,47,27,790,100,0,0,0,3,584,-18,3,-1009,
2025,2,27,17,47,28,780,100,0,0,0,3,696,-21,2,-1010,
2025,2,27,17,47,29,780,100,0,0,0,3,795,-21,4,-1003,
2025,2,27,17,47,30,770,100,0,0,0,3,887,-17,1,-1011,
2025,2,27,17,47,31,760,100,0,0,0,3,953,-17,0,-1008,
2025,2,27,17,47,32,760,100,0,0,0,3,1004,-20,0,-1010,
2025,2,27,17,47,33,750,100,0,0,0,3,1044,-14,0,-1007,
2025,2,27,17,47,34,750,100,0,0,0,3,1075,-21,2,-1009,
2025,2,27,17,47,35,750,100,0,0,0,3,1092,-18,1,-1006,
2025,2,27,17,47,36,740,100,0,0,0,3,1108,-22,6,-1011,
2025,2,27,17,47,37,740,100,0,0,0,3,1122,-15,2,-1003,
2025,2,27,17,47,38,740,100,0,0,0,3,1134,-14,4,-1008,
2025,2,27,17,47,39,730,100,0,0,0,3,1146,-23,4,-1011,
2025,2,27,17,47,40,730,100,0,0,0,3,1156,-22,7,-1006,
2025,2,27,17,47,41,720,100,0,0,0,3,1165,-17,6,-1007,
2025,2,27,17,47,42,720,100,0,0,0,3,1176,-15,1,-1010,
2025,2,27,17,47,43,730,100,0,0,0,3,1189,-14,2,-1005,
2025,2,27,17,47,44,730,100,0,0,0,3,1189,-15,0,-1007,
2025,2,27,17,47,45,740,100,0,0,0,3,1204,-18,0,-1007,
2025,2,27,17,47,46,740,100,0,0,0,3,1220,-15,0,-1007,
2025,2,27,17,47,47,740,100,0,0,0,3,1235,-16,2,-1009,
2025,2,27,17,47,48,730,100,0,0,0,3,1249,-17,2,-1004,
2025,2,27,17,47,49,730,100,0,0,0,3,1262,-16,0,-1007,
2025,2,27,17,47,50,730,100,0,0,0,3,1274,-19,0,-1006,
2025,2,27,17,47,51,730,100,0,0,0,3,1285,-19,2,-1008,
2025,2,27,17,47,52,740,100,0,0,0,3,1292,-19,0,-1003,
2025,2,27,17,47,53,750,100,0,0,0,3,1299,-16,2,-1006,
2025,2,27,17,47,54,750,100,0,0,0,3,1305,-18,4,-1005,
2025,2,27,17,47,55,750,100,0,0,0,3,1310,-22,1,-1008,
2025,2,27,17,47,56,740,100,0,0,0,3,1315,-18,4,-1005,
2025,2,27,17,47,57,740,100,0,0,0,3,1320,-18,0,-1012,
2025,2,27,17,47,58,740,100,0,0,0,3,1324,-20,4,-1006,
2025,2,27,17,47,59,750,100,0,0,0,3,1328,-18,0,-1007,
2025,2,27,17,48,0,760,100,0,0,0,3,1331,-21,0,-1008,
2025,2,27,17,48,1,760,100,0,0,0,3,1334,-20,0,-1011,
2025,2,27,17,48,2,770,100,0,0,0,3,1337,-19,6,-1005,
2025,2,27,17,48,3,770,100,0,0,0,3,1340,-22,-4,-1007,
2025,2,27,17,48,4,770,100,0,0,0,3,1343,-21,8,-1010,
2025,2,27,17,48,5,770,100,0,0,0,3,1345,-21,3,-1004,
2025,2,27,17,48,6,770,100,0,0,0,3,1347,-17,0,-1008,
2025,2,27,17,48,7,780,100,0,0,0,3,1348,-16,3,-1006,
2025,2,27,17,48,8,780,100,0,0,0,3,1350,-18,0,-1005,
2025,2,27,17,48,9,790,100,0,0,0,3,1350,-18,1,-1005,
2025,2,27,17,48,10,790,100,0,0,0,3,1351,-18,2,-1001,
2025,2,27,17,48,11,790,100,0,0,0,3,1352,-20,0,-1005,
2025,2,27,17,48,12,780,100,0,0,0,3,1353,-20,0,-1007,
2025,2,27,17,48,13,780,100,0,0,0,3,1355,-19,1,-1008,
2025,2,27,17,48,14,780,100,0,0,0,3,1356,-17,2,-1008,
2025,2,27,17,48,15,780,100,0,0,0,3,1359,-18,1,-1008,
