Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5
2025-04-14 12:38:29.499,87009,18973,21574,73478,96217
2025-04-14 12:38:29.548,87012,18966,21579,73487,96206
2025-04-14 12:38:29.550,87012,18972,21574,73474,96192
2025-04-14 12:38:29.552,87010,18964,21577,73474,96200
2025-04-14 12:38:29.556,87000,18968,21575,73481,96209
2025-04-14 12:38:29.557,86994,18963,21578,73480,96200
2025-04-14 12:38:29.559,86986,18961,21573,73480,96208
2025-04-14 12:38:29.560,86988,18954,21574,73494,96205
2025-04-14 12:38:29.562,86980,18954,21569,73496,96216
2025-04-14 12:38:29.564,86974,18952,21571,73512,96223
2025-04-14 12:38:29.566,86968,18954,21572,73520,96224
2025-04-14 12:38:29.570,86958,18949,21571,73517,96249
2025-04-14 12:38:29.573,86946,18953,21565,73524,96237
2025-04-14 12:38:29.575,86952,18951,21571,73517,96244
2025-04-14 12:38:29.577,86932,18952,21571,73526,96245
2025-04-14 12:38:29.579,86948,18949,21573,73526,96247
2025-04-14 12:38:29.581,86936,18950,21574,73513,96253
2025-04-14 12:38:29.583,86934,18955,21567,73516,96254
2025-04-14 12:38:29.586,86937,18949,21579,73505,96251
2025-04-14 12:38:29.588,86932,18958,21577,73502,96237
2025-04-14 12:38:29.591,86948,18956,21579,73484,96234
2025-04-14 12:38:30.048,86945,18957,21581,73479,96219
2025-04-14 12:38:30.050,86959,18959,21581,73460,96214
2025-04-14 12:38:30.051,86964,18961,21587,73459,96200
2025-04-14 12:38:30.052,86966,18969,21588,73452,96206
2025-04-14 12:38:30.052,86970,18974,21591,73446,96195
2025-04-14 12:38:30.053,86982,18976,21594,73454,96191
2025-04-14 12:38:30.054,86987,18978,21597,73445,96194
2025-04-14 12:38:30.055,86987,18981,21603,73449,96188
2025-04-14 12:38:30.056,86989,18984,21604,73460,96195
2025-04-14 12:38:30.056,86999,18989,21612,73471,96193
2025-04-14 12:38:30.057,86995,18995,21613,73480,96197
2025-04-14 12:38:30.058,86999,18999,21615,73475,96220
2025-04-14 12:38:30.058,86996,19005,21625,73485,96215
2025-04-14 12:38:30.059,86999,19004,21629,73489,96221
2025-04-14 12:38:30.060,86988,19009,21628,73498,96228
2025-04-14 12:38:30.061,86995,19011,21631,73501,96243
2025-04-14 12:38:30.063,86989,19016,21634,73508,96240
2025-04-14 12:38:30.065,86988,19012,21639,73516,96235
2025-04-14 12:38:30.066,86985,19016,21640,73513,96237
2025-04-14 12:38:30.069,86988,19018,21647,73522,96240
