Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5
2025-04-14 12:31:02.275,99380,21224,22660,80854,105321
2025-04-14 12:31:02.326,99375,21224,22658,80844,105326
2025-04-14 12:31:02.329,99369,21227,22659,80851,105332
2025-04-14 12:31:02.330,99364,21229,22665,80838,105322
2025-04-14 12:31:02.331,99343,21234,22664,80847,105322
2025-04-14 12:31:02.333,99345,21233,22662,80840,105317
2025-04-14 12:31:02.335,99348,21236,22673,80842,105324
2025-04-14 12:31:02.337,99338,21235,22674,80848,105330
2025-04-14 12:31:02.338,99349,21236,22671,80852,105324
2025-04-14 12:31:02.340,99336,21238,22676,80839,105320
2025-04-14 12:31:02.342,99320,21241,22679,80847,105332
2025-04-14 12:31:02.344,99323,21239,22680,80851,105313
2025-04-14 12:31:02.346,99310,21241,22679,80847,105319
2025-04-14 12:31:02.349,99295,21240,22683,80827,105306
2025-04-14 12:31:02.350,99271,21241,22679,80820,105304
2025-04-14 12:31:02.351,99234,21237,22680,80802,105292
2025-04-14 12:31:02.353,99197,21239,22680,80791,105267
2025-04-14 12:31:02.355,99197,21239,22680,80791,105267
2025-04-14 12:31:02.356,99137,21238,22681,80750,105216
2025-04-14 12:31:02.358,99123,21231,22677,80741,105199
2025-04-14 12:31:02.361,99114,21233,22686,80728,105180
2025-04-14 12:31:02.362,99109,21225,22677,80723,105178
2025-04-14 12:31:02.364,99113,21233,22676,80729,105160
2025-04-14 12:31:02.366,99125,21225,22679,80720,105180
2025-04-14 12:31:02.369,99139,21219,22673,80740,105171
2025-04-14 12:31:02.776,99139,21210,22668,80726,105180
2025-04-14 12:31:02.778,99143,21191,22649,80719,105174
2025-04-14 12:31:02.779,99136,21178,22637,80719,105179
2025-04-14 12:31:02.780,99135,21158,22630,80697,105172
2025-04-14 12:31:02.781,99112,21126,22609,80683,105139
2025-04-14 12:31:02.783,99100,21105,22586,80658,105130
2025-04-14 12:31:02.784,99084,21085,22571,80637,105104
2025-04-14 12:31:02.785,99056,21063,22564,80629,105094
2025-04-14 12:31:02.787,99036,21050,22546,80606,105072
2025-04-14 12:31:02.788,99035,21036,22537,80597,105061
2025-04-14 12:31:02.789,99039,21027,22535,80604,105062
2025-04-14 12:31:02.790,99058,21023,22534,80621,105067
2025-04-14 12:31:02.791,99105,21020,22539,80655,105103
2025-04-14 12:31:02.792,99153,21027,22546,80703,105146
2025-04-14 12:31:02.793,99187,21036,22555,80754,105174
2025-04-14 12:31:02.794,99213,21045,22559,80797,105228
2025-04-14 12:31:02.795,99229,21054,22574,80831,105279
2025-04-14 12:31:02.796,99228,21070,22587,80864,105303
2025-04-14 12:31:02.798,99245,21077,22586,80885,105331
2025-04-14 12:31:02.799,99248,21088,22602,80906,105355
2025-04-14 12:31:02.800,99249,21096,22604,80926,105376
2025-04-14 12:31:02.801,99270,21107,22617,80944,105382
2025-04-14 12:31:02.802,99283,21115,22626,80953,105397
2025-04-14 12:31:02.802,99277,21131,22635,80959,105413
2025-04-14 12:31:02.803,99270,21136,22639,80968,105424
2025-04-14 12:31:02.804,99287,21138,22642,80975,105417
2025-04-14 12:31:02.805,99282,21145,22651,80973,105438
2025-04-14 12:31:02.805,99285,21156,22657,80995,105447
2025-04-14 12:31:02.806,99271,21160,22662,81007,105450
2025-04-14 12:31:02.807,99271,21164,22670,81020,105465
2025-04-14 12:31:02.808,99259,21167,22666,81023,105472
2025-04-14 12:31:02.810,99252,21163,22661,81013,105505
2025-04-14 12:31:02.812,99254,21145,22646,81004,105494
2025-04-14 12:31:02.814,99263,21122,22620,80975,105468
2025-04-14 12:31:02.815,99264,21087,22595,80952,105424
2025-04-14 12:31:02.816,99270,21069,22573,80937,105381
2025-04-14 12:31:02.817,99279,21050,22555,80921,105345
2025-04-14 12:31:02.819,99262,21043,22551,80929,105337
2025-04-14 12:31:02.820,99230,21026,22538,80941,105331
2025-04-14 12:31:02.822,99201,21013,22527,80940,105326
2025-04-14 12:31:02.849,99192,21001,22520,80970,105326
2025-04-14 12:31:02.851,99177,20997,22520,81025,105346
2025-04-14 12:31:02.853,99182,21006,22520,81086,105377
2025-04-14 12:31:02.855,99174,21014,22527,81155,105453
2025-04-14 12:31:02.858,99176,21021,22536,81239,105533
2025-04-14 12:31:02.860,99184,21030,22542,81299,105605
2025-04-14 12:31:02.862,99218,21031,22551,81400,105663
2025-04-14 12:31:02.864,99238,21043,22562,81486,105758
2025-04-14 12:31:02.866,99270,21056,22572,81582,105849
2025-04-14 12:31:02.868,99277,21066,22583,81676,105934
2025-04-14 12:31:02.880,99310,21073,22592,81763,106024
2025-04-14 12:31:02.889,99312,21086,22598,81845,106116
2025-04-14 12:31:02.932,99311,21092,22614,81919,106198
2025-04-14 12:31:02.934,98458,21119,22763,82048,106275
2025-04-14 12:31:02.936,98476,21127,22768,82094,106415
2025-04-14 12:31:02.938,98470,21134,22778,82149,106476
2025-04-14 12:31:02.940,98442,21143,22789,82209,106518
2025-04-14 12:31:02.952,98445,21156,22788,82244,106549
2025-04-14 12:31:02.960,98434,21164,22802,82296,106605
2025-04-14 12:31:02.972,98438,21174,22810,82327,106645
2025-04-14 12:31:02.980,98445,21186,22816,82363,106683
2025-04-14 12:31:03.001,98448,21196,22824,82409,106702
2025-04-14 12:31:03.003,98457,21203,22833,82429,106737
2025-04-14 12:31:03.012,98456,21209,22845,82466,106768
2025-04-14 12:31:03.020,98455,21218,22849,82496,106797
2025-04-14 12:31:03.032,98444,21229,22850,82528,106823
2025-04-14 12:31:03.041,98450,21226,22852,82564,106852
2025-04-14 12:31:03.068,98455,21229,22856,82584,106875
2025-04-14 12:31:03.070,98489,21226,22853,82630,106904
2025-04-14 12:31:03.072,98508,21231,22859,82682,106931
2025-04-14 12:31:03.081,98513,21235,22864,82749,106979
2025-04-14 12:31:03.091,98521,21243,22872,82782,107037
2025-04-14 12:31:03.101,98525,21252,22882,82840,107076
2025-04-14 12:31:03.112,98533,21261,22890,82868,107123
2025-04-14 12:31:03.134,98543,21275,22894,82904,107168
2025-04-14 12:31:03.136,98555,21275,22899,82951,107207
2025-04-14 12:31:03.140,98569,21290,22915,82989,107235
2025-04-14 12:31:03.152,98599,21298,22917,83021,107267
2025-04-14 12:31:03.160,98625,21305,22928,83042,107311
2025-04-14 12:31:03.171,98629,21318,22936,83080,107332
2025-04-14 12:31:03.180,98657,21321,22944,83103,107354
2025-04-14 12:31:03.200,98668,21329,22947,83130,107388
2025-04-14 12:31:03.201,98709,21340,22952,83145,107403
2025-04-14 12:31:03.211,98726,21338,22952,83183,107431
2025-04-14 12:31:03.220,98744,21350,22963,83200,107455
2025-04-14 12:31:03.232,98773,21353,22968,83218,107491
2025-04-14 12:31:03.240,98765,21366,22971,83221,107485
2025-04-14 12:31:03.265,98771,21372,22981,83237,107509
2025-04-14 12:31:03.266,98768,21381,22994,83245,107508
2025-04-14 12:31:03.272,98779,21393,22995,83239,107497
2025-04-14 12:31:03.281,98772,21389,23003,83240,107514
2025-04-14 12:31:03.292,98782,21402,23006,83233,107512
2025-04-14 12:31:03.304,98796,21399,23008,83255,107512
2025-04-14 12:31:03.307,98796,21399,23008,83255,107512
2025-04-14 12:31:03.312,98801,21399,23002,83272,107520
2025-04-14 12:31:03.331,98790,21386,22999,83274,107528
2025-04-14 12:31:03.332,98781,21368,22991,83268,107536
2025-04-14 12:31:03.344,98773,21352,22976,83266,107520
2025-04-14 12:31:03.352,98749,21336,22966,83250,107518
2025-04-14 12:31:03.364,98726,21315,22951,83228,107497
2025-04-14 12:31:03.372,98713,21302,22932,83209,107480
2025-04-14 12:31:03.396,98686,21280,22923,83186,107455
2025-04-14 12:31:03.397,98663,21278,22919,83170,107424
2025-04-14 12:31:03.404,98638,21266,22913,83155,107409
2025-04-14 12:31:03.411,98613,21262,22907,83139,107394
2025-04-14 12:31:03.423,98610,21263,22907,83133,107375
2025-04-14 12:31:03.431,98613,21257,22903,83134,107357
2025-04-14 12:31:03.444,98601,21246,22894,83111,107330
2025-04-14 12:31:03.462,98598,21238,22896,83126,107337
2025-04-14 12:31:03.465,98568,21235,22892,83128,107346
2025-04-14 12:31:03.472,98561,21232,22889,83149,107346
2025-04-14 12:31:03.484,98542,21237,22889,83161,107358
2025-04-14 12:31:03.492,98536,21238,22891,83175,107367
2025-04-14 12:31:03.504,98529,21232,22893,83192,107380
2025-04-14 12:31:03.527,98531,21231,22884,83212,107390
2025-04-14 12:31:03.528,98505,21230,22888,83220,107406
2025-04-14 12:31:03.532,98504,21225,22881,83244,107421
2025-04-14 12:31:03.544,98501,21222,22881,83265,107439
2025-04-14 12:31:03.552,98494,21218,22876,83299,107462
2025-04-14 12:31:03.564,98526,21215,22871,83328,107487
2025-04-14 12:31:03.572,98550,21213,22869,83375,107533
2025-04-14 12:31:03.593,98601,21207,22871,83441,107566
2025-04-14 12:31:03.594,98646,21206,22872,83500,107640
2025-04-14 12:31:03.603,98673,21203,22876,83554,107711
