Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5
2025-05-05 18:06:12.313,116558,17712,16771,68422,105861
2025-05-05 18:06:12.359,116606,17727,16790,68478,105934
2025-05-05 18:06:12.360,116597,17698,16797,68501,105953
2025-05-05 18:06:12.361,116592,17681,16772,68427,105869
2025-05-05 18:06:12.362,116656,17685,16759,68407,105826
2025-05-05 18:06:12.363,116697,17694,16769,68421,105843
2025-05-05 18:06:12.364,116752,17697,16795,68453,105864
2025-05-05 18:06:12.365,116799,17708,16811,68465,105888
2025-05-05 18:06:12.366,116839,17712,16828,68496,105908
2025-05-05 18:06:12.367,116842,17701,16834,68517,105909
2025-05-05 18:06:12.368,116840,17688,16833,68501,105867
2025-05-05 18:06:12.370,116834,17679,16816,68478,105822
2025-05-05 18:06:12.371,116838,17664,16815,68461,105799
2025-05-05 18:06:12.372,116837,17659,16815,68464,105777
2025-05-05 18:06:12.373,116818,17654,16812,68454,105769
2025-05-05 18:06:12.374,116814,17654,16810,68458,105770
2025-05-05 18:06:12.375,116813,17651,16805,68461,105771
2025-05-05 18:06:12.377,116810,17649,16803,68468,105770
2025-05-05 18:06:12.378,116803,17644,16805,68476,105767
2025-05-05 18:06:12.379,116815,17656,16814,68491,105779
2025-05-05 18:06:12.380,116833,17667,16823,68507,105792
2025-05-05 18:06:12.381,116869,17682,16845,68540,105837
2025-05-05 18:06:12.381,116898,17693,16869,68598,105905
2025-05-05 18:06:12.382,116864,17694,16882,68628,105930
2025-05-05 18:06:12.383,116841,17692,16878,68633,105904
2025-05-05 18:06:12.383,116828,17686,16878,68638,105906
2025-05-05 18:06:12.384,116839,17694,16877,68642,105899
2025-05-05 18:06:12.384,116866,17698,16879,68659,105924
2025-05-05 18:06:12.385,116872,17697,16887,68691,105941
2025-05-05 18:06:12.386,116840,17681,16887,68681,105929
2025-05-05 18:06:12.386,116813,17664,16863,68647,105869
2025-05-05 18:06:12.387,116802,17640,16843,68595,105815
2025-05-05 18:06:12.387,116797,17624,16822,68545,105740
2025-05-05 18:06:12.388,116802,17615,16808,68508,105685
2025-05-05 18:06:12.389,116842,17609,16814,68507,105673
2025-05-05 18:06:12.395,116878,17613,16818,68496,105681
2025-05-05 18:06:12.403,116907,17620,16827,68525,105693
2025-05-05 18:06:12.804,116883,17613,16837,68538,105713
2025-05-05 18:06:12.806,116860,17598,16822,68498,105679
2025-05-05 18:06:12.807,116833,17584,16805,68460,105629
2025-05-05 18:06:12.808,116821,17569,16790,68430,105588
2025-05-05 18:06:12.810,116827,17562,16782,68393,105550
2025-05-05 18:06:12.811,116860,17565,16781,68385,105539
2025-05-05 18:06:12.813,116871,17570,16788,68392,105561
2025-05-05 18:06:12.815,116861,17562,16794,68389,105561
2025-05-05 18:06:12.817,116829,17542,16786,68368,105533
2025-05-05 18:06:12.818,116833,17536,16769,68325,105477
2025-05-05 18:06:12.819,116849,17540,16759,68294,105442
2025-05-05 18:06:12.820,116873,17548,16769,68315,105470
2025-05-05 18:06:12.821,116900,17557,16781,68328,105487
2025-05-05 18:06:12.823,116933,17568,16796,68348,105529
2025-05-05 18:06:12.824,116965,17584,16814,68370,105567
2025-05-05 18:06:12.825,117001,17604,16839,68408,105608
2025-05-05 18:06:12.827,116974,17599,16865,68435,105655
2025-05-05 18:06:12.828,116941,17593,16857,68421,105633
2025-05-05 18:06:12.830,116919,17593,16853,68393,105602
2025-05-05 18:06:12.831,116923,17606,16857,68399,105589
2025-05-05 18:06:12.832,116969,17634,16881,68430,105655
2025-05-05 18:06:12.834,116988,17655,16914,68505,105742
2025-05-05 18:06:12.835,117006,17680,16943,68562,105808
2025-05-05 18:06:12.836,117033,17709,16963,68616,105902
2025-05-05 18:06:12.836,117010,17711,16988,68682,105982
2025-05-05 18:06:12.837,116972,17699,16991,68665,105961
2025-05-05 18:06:12.838,116935,17678,16980,68622,105892
2025-05-05 18:06:12.839,116880,17649,16947,68545,105819
2025-05-05 18:06:12.839,116852,17620,16905,68442,105709
