Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5
2025-05-29 11:10:02.914,102024,15993,13281,93616,100620
2025-05-29 11:10:02.957,102020,16007,13289,93621,100624
2025-05-29 11:10:02.959,102025,16015,13300,93598,100605
2025-05-29 11:10:02.960,102035,16026,13314,93609,100617
2025-05-29 11:10:02.961,102029,16031,13316,93608,100609
2025-05-29 11:10:02.963,102025,16036,13318,93607,100607
2025-05-29 11:10:02.965,102029,16043,13318,93615,100603
2025-05-29 11:10:02.966,102031,16047,13327,93611,100609
2025-05-29 11:10:02.968,102033,16051,13326,93594,100603
2025-05-29 11:10:02.971,102012,16046,13321,93607,100598
2025-05-29 11:10:02.973,102022,16048,13325,93601,100609
2025-05-29 11:10:02.974,102022,16044,13321,93594,100586
2025-05-29 11:10:02.976,102017,16036,13300,93588,100591
2025-05-29 11:10:02.977,101997,16026,13300,93593,100579
2025-05-29 11:10:02.979,102005,16020,13288,93588,100589
2025-05-29 11:10:02.980,101981,16012,13280,93586,100565
2025-05-29 11:10:02.982,102003,15998,13271,93589,100585
2025-05-29 11:10:02.983,101984,15990,13261,93584,100575
2025-05-29 11:10:02.984,101996,15992,13245,93589,100559
2025-05-29 11:10:02.985,101983,15981,13243,93588,100556
2025-05-29 11:10:02.986,101990,15974,13238,93597,100562
2025-05-29 11:10:02.987,101988,15974,13236,93613,100555
2025-05-29 11:10:02.988,101988,15974,13236,93613,100555
2025-05-29 11:10:02.989,101988,15974,13236,93613,100555
2025-05-29 11:10:02.990,102011,15969,13227,93615,100583
2025-05-29 11:10:02.991,102010,15973,13220,93638,100589
2025-05-29 11:10:02.993,102000,15960,13219,93642,100607
2025-05-29 11:10:02.994,102011,15959,13217,93649,100605
2025-05-29 11:10:02.995,101999,15965,13220,93654,100608
2025-05-29 11:10:02.996,102008,15955,13211,93664,100606
2025-05-29 11:10:02.997,102003,15956,13209,93651,100613
2025-05-29 11:10:02.999,102011,15958,13204,93653,100594
2025-05-29 11:10:03.000,102012,15954,13209,93658,100609
2025-05-29 11:10:03.001,101998,15948,13206,93667,100615
2025-05-29 11:10:03.002,102012,15948,13204,93672,100615
2025-05-29 11:10:03.003,102010,15953,13205,93683,100612
2025-05-29 11:10:03.005,102009,15948,13200,93671,100612
2025-05-29 11:10:03.006,102008,15954,13201,93682,100608
2025-05-29 11:10:03.437,102004,15956,13200,93669,100619
2025-05-29 11:10:03.439,102004,15948,13210,93662,100607
2025-05-29 11:10:03.441,102006,15955,13202,93665,100614
2025-05-29 11:10:03.443,101991,15947,13206,93646,100590
2025-05-29 11:10:03.446,101985,15948,13206,93652,100593
2025-05-29 11:10:03.448,101985,15948,13206,93652,100593
2025-05-29 11:10:03.451,101970,15950,13205,93642,100582
2025-05-29 11:10:03.454,101982,15955,13203,93633,100598
