
 0x02 0x00 Status, Read Operating Mode: 0 0
Ver: 0 33 13 31
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 0 1 
rd algo size: 0 16 
algo only 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
opmode,hr,hr_conf,ibi,ibi_conf,act,r,spo2_conf,spo2,spo2_compl,spo2_lo,spo2_mo,spo2_lopi,spo2_unrel,spo2_state,scd,ibioffset,inappro_ori,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,24,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,7394,25,0,0,0,0,0,0,0,0,0,0,3,16,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,
0,600,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,
