0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
140011,25763,107146,107142,-31,-250,976,600,0,0,0,0,0,2,
236051,25757,237460,235261,-32,-249,975,600,0,0,0,0,0,2,
196032,21098,284338,275996,-16,-251,978,600,0,0,0,0,0,2,
174451,18506,284570,276318,-17,-250,977,600,0,0,0,0,0,2,
169128,17381,284640,276513,-15,-252,975,600,0,0,0,0,0,2,
165790,16974,284723,276679,-14,-252,976,600,0,0,0,0,0,2,
165727,16973,284640,276681,-24,-252,977,600,0,0,0,0,0,2,
166139,17016,285111,277106,-23,-252,977,600,0,0,0,0,0,2,
166488,17031,285494,277433,-25,-251,974,600,0,0,0,0,0,2,
166439,17027,285455,277451,-23,-250,975,600,0,0,0,0,0,2,
166778,17044,285787,277793,-18,-253,979,700,0,0,0,0,0,2,
167230,17058,286174,278147,-20,-254,978,700,0,0,0,0,0,2,
167776,17058,369098,352655,-31,-256,979,700,0,0,0,0,0,2,
168038,17053,433152,439354,-38,-256,977,700,0,0,0,0,0,2,
168295,17052,433486,441362,0,-251,978,700,0,0,0,0,0,2,
168517,17054,433693,441574,-17,-251,977,700,0,0,0,0,0,2,
168441,17024,433174,440972,-29,-251,975,700,0,0,0,0,0,2,
168051,16891,432022,439358,-24,-251,975,700,0,0,0,0,0,2,
167229,16766,431194,438079,-10,-253,977,700,0,0,0,0,0,2,
166898,16719,431186,437923,-18,-250,974,700,0,0,0,0,0,2,
167013,16716,431612,438267,-18,-250,974,700,0,0,0,0,0,2,
167064,16720,431830,438456,-18,-250,974,700,0,0,0,0,0,2,
167172,16729,432121,438755,-18,-250,974,700,0,0,0,0,0,2,
167355,16747,432409,439145,-18,-250,974,700,0,0,0,0,0,2,
167504,16763,432622,439484,-18,-250,974,700,0,0,0,0,0,2,
167631,16776,432756,439683,-18,-250,974,700,0,0,0,0,0,2,
167724,16769,432878,439890,-31,-251,975,700,0,0,0,0,0,2,
167901,16771,433147,440230,-29,-251,976,700,0,0,0,0,0,2,
168084,16774,433370,440514,-23,-251,975,700,0,0,0,0,0,2,
168116,16778,433405,440697,-27,-252,976,700,0,0,0,0,0,2,
168264,16788,433584,441009,-22,-251,975,700,0,0,0,0,0,2,
168379,16801,433668,441198,-23,-250,978,700,0,0,0,0,0,2,
168482,16819,433677,441386,-17,-250,977,700,0,0,0,0,0,2,
168582,16839,433687,441498,-19,-251,977,700,0,0,0,0,0,2,
168692,16855,433715,441667,-27,-251,976,700,0,0,0,0,0,2,
168886,16876,433935,441964,-22,-251,977,700,0,0,0,0,0,2,
169166,16896,434165,442243,-31,-249,979,700,0,0,0,0,0,2,
169144,16852,433708,441651,-33,-250,977,700,0,0,0,0,0,2,
168411,16719,432611,440062,-32,-250,978,700,0,0,0,0,0,2,
167671,16628,432043,439121,-29,-250,977,700,0,0,0,0,0,2,
167395,16601,431918,438944,-22,-250,978,700,0,0,0,0,0,2,
167380,16604,432010,439046,-20,-249,976,700,0,0,0,0,0,2,
167358,16609,432010,439116,-21,-250,977,700,0,0,0,0,0,2,
167441,16624,432189,439357,-18,-249,976,700,0,0,0,0,0,2,
167717,16647,432589,439864,-14,-250,980,700,0,0,0,0,0,2,
167951,16662,432828,440176,-19,-249,977,700,0,0,0,0,0,2,
168020,16657,432844,440258,-19,-248,979,700,0,0,0,0,0,2,
168024,16653,432814,440339,-20,-249,976,700,0,0,0,0,0,2,
168147,16662,432951,440569,-20,-249,976,700,0,0,0,0,0,2,
